,Characters,Quotes,Scenes
5160,Fry,I'm on it!,476
5161,Cubert,"My God, the illusion is so perfect I almost forgot I was looking at an idiot!",476
5162,Leela,"Now, they may ask for a DNA sample.",476
5163,Fry,I'd like to see them find it!,476
5164,Cubert,This plan is impossible. We don't even have a sample of the Professor's DNA.,476
5165,Bender,I think I know where to get some.,476
5166,Cubert,Why do I have to be the hump?,478
5167,Fry,'Cause you're too ugly to be a wart.,478
5168,Leela,Your Medicare dollars at work.,478
5169,Barrierbot #1,Halt! Identify this guest.,478
5170,Leela,"Uh, this is Professor Hubert Farnsworth. He escaped.",478
5171,Barrierbot #1,Escaped? No one escapes.,478
5172,Barrierbot #2,This guest does not look 160.,478
5173,Fry,What? I'm old. Listen,478
5174,Barrierbot #1,"Hmm, it is true old people are often concerned that there are children on their lawns.",478
5175,Barrierbot #2,There's no denying that. But we'll still need to verify his identity with a DNA sample.,478
5176,Bender,"Got a hot, steaming batch right here!",478
5177,Barrierbot #2,We only needed one cell!,478
5178,Bender,"Eh, keep the change, buddy.",478
5179,Cubert,Stupid robot.,478
5180,Barrierbot #1,Did your hump just say something?,478
5181,Fry,Uh ... I-I've got talking hump syndrome.,478
5182,Barrierbot #1,"Ah, T.H.S.",478
5183,Barrierbot #2,Identity confirmed. Return this shambling shuffle-boarder to his room.,478
5184,Barrierbot #1,7152 Maple Drive.,478
5185,Leela,Sounds nice.,478
5186,Barrierbot #1,Prepare to be surprised.,478
5187,Fry,So this is where they stick old people. It's horrific!,479
5188,Leela,At least it keeps them from driving.,479
5189,Leela,Brace yourself for the worst.,479
5190,Bender,And yet he looks so natural.,479
5191,Cubert,What's happening?,479
5192,Leela,"He's hooked up to a life-support system.  We have to disconnect him very, very carefully, or the shock could kill him.",479
5193,Guardbot #1,Freeze!  Seize them!,479
5194,Guardbot #2,Seize them!,479
5195,Guardbot #3,Seize them!,479
5196,Guardbot #4,Seize them!,479
5197,Guardbot #1,Get them-- I mean seize them!,479
5198,Guardbot #2,"Aww, I'm so bad at this!",479
5199,Guardbot #3,Uh-oh!,479
5200,Leela,"We're probably gonna make it, but we might not.",479
5201,Cubert,It's impossible! We'll never fit.,479
5202,Fry,Will too!,479
5203,Cubert,Told you.,479
5204,Fry,"Come on, Leela! Step your big boot down on the gas pedal.",480
5205,Leela,They've blown out one of our engines!,480
5206,Fry,Fix it! Fix it! Fix it! Fix it! Fix it! Fix it! Fix it! Fix it! Fix it!,480
5207,Leela,Only the Professor knows how to fix it. We have to wake him up.,480
5208,Fry,Try shocking him.,480
5209,Bender,Your social security cheque is late! Stuff costs more than it used to! Young people use curse words!,480
5210,Fry,"Damnit, we'll have to fix the engine ourself.",480
5211,Leela,"We can't, you bastard! No one knows how it works. It's impossible!",480
5212,Cubert,Nothing is impossible. I understand how the engines work now. It came to me in a dream.  The engines don't move the ship at all. The ship stays where it is and the engines move the universe around it.,480
5213,Bender,That's a complete load.,480
5214,Cubert,"Nothing's a complete load. Not if you can imagine it. That's what being a scientist is all about. Right, Professor?  Let's ride!",480
5215,[Cut to,Near-Death Star Landing Pad. The ships engines power up and they begin to move the universe in a flow-mo sequence lifted from,480
5216,Cubert,"Good news, everyone! He's made a complete recovery.",481
5217,Amy,Yeah!,481
5218,Hermes,Wow!,481
5219,Leela,All right!,481
5220,Farnsworth,I'm as spry as a 140-year-old.  See? I only broke one ankle.,481
5221,Fry,So what were they doing to you in that awful drawer?,481
5222,Farnsworth,"Oh, they had me hooked up to a bizarre virtual world that seemed absolutely real.",481
5223,Amy,What was it like?,481
5224,Farnsworth,"It was as though I were living in a facility in Florida with hundreds of other old people. All day long we'd play bingo, eat oatmeal and wait for our children to call.",481
5225,Leela,It's a hundred times more horrible than anything I could imagine.,481
5226,Farnsworth,"Oh, my, yes. Thank you all for saving me. Especially you, my little clone. No matter what you decide to do with your life, I'm still proud of you.",481
5227,Cubert,"I've already decided. Dad, when I grow up I wanna be just like you.",481
5228,Farnsworth,"Don't worry, son, you will. Incidentally, you might want to read up on a condition known as ""wandering bladder"".",481
5229,Cubert,Why?,481
5230,Farnsworth,No reason. No reason at all.,481
5231,Hermes,"Finally, the last form of the day. Welcome to Stampy Town. Population, five!  My God! It's from the Central Bureaucracy!",482
5232,Leela,I'm having a poker game tonight with some friends from my old cryogenics job. You guys interested?,483
5233,Bender,I don't know. I only gamble with chumps.,483
5234,Fry,I'll play.,483
5235,Bender,I'm in!,483
5236,Zoidberg,"Leela, Fry, robot. No matter what it is you're doing tonight, I'm available.",483
5237,Leela,"We're playing poker. But I'm warning you, my friends are serious players.",483
5238,Zoidberg,"Bah, big shots. I say let the dice do the talking.",483
5239,Fry,Wow! You look happy. Is someone fired?,483
5240,Hermes,"Better! The Central Bureaucracy is conducting an inspection tomorrow. I will finally be promoted to grade 35, the 35th highest grade there is.",483
5241,Leela,"Hermes, wait! We're having a poker party. Stay and whip off a batch of your famous jerk dip.",483
5242,Hermes,"Sorry, I spent all day putting my office in order. Now I got to go home and relax the traditional Jamaican way",483
5243,Fry,Jamaican? I thought you were some kinda outer-space potato man.,483
5244,Leela,"Ah, that must be my old boss.",483
5245,Ipgee,"Hello, Leela. You're fired.",484
5246,Leela,I know.,484
5247,Ipgee,I'm sorry but it's just that you're over a year late for work at this point.,484
5248,Terry,Let the games begin!,484
5249,Ipgee,"So I told Leela, ""Your request for a date is most flattering but I must decline."" These office romances never work out. After all, that is how I met my horrible wife.",485
5250,Leela,But you never wore your ring. I didn't know you had a wife.,485
5251,Ipgee,And my wife doesn't know I have a job. I keep my personal and professional lives separate.,485
5252,Bender,"Come on, let's deal. You'll have plenty of time to talk when you're poor.",485
5253,Fry,"What's with the specs, Bender?",485
5254,Bender,They're my lucky shades. I stole them off some lucky guy while his lucky seeing eye dog was taking a whiz.,485
5255,Fry,Hey!,485
5256,Zoidberg,I can't spell anything with these cards.,485
5257,Zoidberg,"Finally, I have a good claw. See?  Three human females, a number and a king giving himself brain surgery.",485
5258,Fry,"It doesn't matter how many human females you have, Bender's on a hot streak.",485
5259,Bender,"Uh, what can I say? Must be my lucky shades!  Read 'em and leak salt water!",485
5260,Fry,"Oh, man!",485
5261,Terry,That's my baby's milk money!,485
5262,Ipgee,"Oh, I am broke. What will I tell my horrible wife?",485
5263,Bender,If I were you I'd be more worried about that tapeworm going to town on your intestines.,485
5264,Ipgee,Let me see those glasses.,485
5265,Bender,Um ... uh...,485
5266,Ipgee,"Oh, my various Gods! X-Ray specs!",485
5267,Bender,"Guys, I swear those are prescription. I need 'em for reading stuff ... on the other side of stuff.",485
5268,Lou,Cheater!,485
5269,Ipgee,Get him!,485
5270,Terry,Break his neck!,485
5271,Zoidberg,"No, don't hurt him! He's my best friend!",485
5272,Bender,"Ow! Easy on the arm! Oh! Oh, my ass!",485
5273,Hermes,Great cow of Moscow!,486
5274,Bender,"Uh, it was ghosts! Big ones! And a tornado!",486
5275,Hermes,Oh! I'll never pass inspection now. They'll bust me lower than a limbo stick ... at carnival time.  And that's as low as limbo sticks get.,486
5276,Fry,"Aw, hey, c'mon, don't worry. We'll watch you clean up.",486
5277,Hermes,It's too late. The inspector will be here in exactly one second.,486
5278,Hermes,Who the hell are you?,486
5279,Morgan,"Morgan Proctor, bureaucrat grade 19.",486
5280,Hermes,"Hermes Conrad, bureaucrat grade 36.",486
5281,Morgan,Enough friendly banter. Shall we begin the inspection?,486
5282,Hermes,"This way, please.",486
5283,Fry,"Jeez, Hermes, you seem awfully calm about this.",486
5284,Hermes,Don't worry. I have a plan.,486
5285,Hermes,I'm going to jump!,487
5286,Amy,No!,487
5287,Zoidberg,No!,487
5288,Bender,Do a flip!,487
5289,Leela,"Don't do it, Hermes! You have so much to live for.",487
5290,Bender,"I get it, reverse psychology.",487
5291,Farnsworth,"Please, old friend, don't jump. Use another method that won't damage your liver. Other people need it, you know.",487
5292,LaBarbara,Husband! Nooo!,487
5293,Hermes,"Outta my way, wife! I wasn't cut out to be a bureaucrat anyway. I'm only anal 78.36% of the time. I'm not worthy to stamp a form, so I'll stamp the pavement with my flabby body.",487
5294,Morgan,"Bureaucrat Conrad, if you complete your death transaction without filing a suicide and/or falling accident permit, you will be posthumously demoted.",487
5295,Hermes,Life. Death. Either way I'm demoted to a tiny cubicle.,487
5296,Hermes,Sweet something of ... of someplace.,488
5297,Morgan,"As your superior, I hereby relieve you of duty. Consider yourself on paid vacation.",488
5298,Hermes,Oh! The ultimate penalty!,488
5299,Zoidberg,"I recommend the health cure on Spa 5, the sauna planet. Here, read.",488
5300,LaBarbara,Spa 5? Is it good?,488
5301,Zoidberg,"Oh, it's wonderful! I don't know anything about it but they give me a bucket of krill for every patient I send.",488
5302,Morgan,"Naturally I'll have to assign a bureaucrat to fill in for Hermes while he's away. I assign me, I accept. Welcome aboard.",488
5303,Zoidberg,Then it's settled. Hermes will relax and Zoidberg will eat. Hurrah!,488
5304,Morgan,"I've been reviewing your corporate records. Regarding last Monday's delivery, why did it take twice as long as scheduled?",489
5305,Leela,Fry got his head stuck in a crater.,489
5306,Fry,I thought it would fit.,489
5307,Morgan,"And during this period of head-crater interaction, what were you doing?",489
5308,Bender,Martini drinking contests with the autopilot. I would've had him this time but we ran out of olives.,489
5309,Leela,I can explain--,489
5310,Morgan,You really think you can explain how you left port without a full compliment of olives? I think not.,489
5311,Leela,"What is this, high school?",489
5312,Morgan,Locker check!,489
5313,Morgan,Why isn't this jacket in alphabetical order?,490
5314,Leela,What?,490
5315,Morgan,The zipper. It should be at the bottom.,490
5316,Bender,"Hey, sometimes a guy gets lonely.",490
5317,Morgan,I-- I've never seen anything like this.  Why is there yoghurt in this cap?,490
5318,Fry,"Uh, I can explain that. See, it used to be milk and, well, time makes fools of us all.",490
5319,Morgan,"You are all dismissed. Fry, I will speak to you alone.",490
5320,Fry,"Uh, wait, this is the other Fry's locker. I'm ""Phry"" with a P-H.",490
5321,Morgan,Dirty boy! Dirty! Dirty! Dirty!,490
5322,Fry,What the hell's going on? I thought you were anti-dirty not pro-dirty.,490
5323,Morgan,I'm surrounded by neat freaks everyday. There's nothing kinkier to me than a filthy slop-jock like you.,490
5324,Fry,"Oh, stop!",490
5325,Morgan,"Now listen, you filthy pig. No one can know about us. If anyone asks, I'll deny it.",490
5326,Fry,Just like very other girl I've dated.,490
5327,Woman,"And two and three and four and ...  ... come on, work those arms!",492
5328,LaBarbara,"This is no spa, it's a forced-labour camp.",492
5329,Hermes,"Curse that Dr. Zoidberg! If I get out of here, he'll be looking down the business-end of a shrimp fork.",492
5330,Australian Man,"Give him one for me too, mate. I don't know why I go to him.",492
5331,Woman,"I don't miss twice, campers!",492
5332,Morgan,"And for those six and a half reasons, I am demoting Leela to co-pilot.",493
5333,Leela,Co-pilot? Under who?,493
5334,Morgan,The autopilot.,493
5335,Leela,That drunk?,493
5336,Morgan,"Mr. Bender, you are now in charge of co-ordinating the Professor's bodily functions.",493
5337,Farnsworth,That's a full-time job.,493
5338,Morgan,"And Fry, as for you, I am promoting you to executive delivery boy. You will no longer go on deliveries and you will have your own office next to mine.",493
5339,Fry,Alright!,493
5340,Morgan,"Mr. Bender, would you high-five him so we can continue this meeting?  Meeting adjourned.",493
5341,Amy,"I can't figure why she's so nice to you, Fry.",494
5342,Zoidberg,"She's a hateful monster, this Morgan. She scolded and hit me. I tell you, she's risking my friendship with her.",494
5343,Leela,"Bender, what happened to you?",494
5344,Bender,"Morgan made me walk the Professor. There we were in the park when suddenly some old lady says I stole her purse. I chucked the Professor at her but she kept coming. So I had to hit her with this purse I found. Ah, the point is, it's Morgan's fault. That pencil-pushing scazwag.  Why, if she were here, I'd-- Uh-oh, is she behind me?",494
5345,Morgan,No. I'm in front of you.,494
5346,Fry,Morgan? It's 3am.,495
5347,Morgan,"I know. A skunk knocked over my garbage and suddenly all I could think of was you.  So, uh, this is where you eat?",495
5348,Fry,Eat and sleep.,495
5349,Morgan,"Oh, Fry!",495
5350,Fry,"Uh, wait, Bender's my roommate. He could be back any second.",495
5351,Morgan,Not likely. I ordered him to flush out the Professor's ear wax.,495
5352,Bender,"Hey, Fry, I made you a candle with--  It's all coming together now!",495
5353,Bender,"I must say, this opens my eyes. Another case closed, my dear Watson.",496
5354,Fry,"Morgan, come back! He's stuck in a loop.",496
5355,Bender,For I was blind but now I see!,496
5356,Bender,The cat's out of the bag now!,497
5357,Morgan,"Mr. Bender, about last night",497
5358,Bender,"Oh, you didn't understand? Well let me explain. You ...  ... were having sex with you.",497
5359,Morgan,"No. You see, a bureaucrat of my rank isn't supposed to fraternise.",497
5360,Bender,"That's what makes it so juicy. It's the forbidden fruit angle everybody loves. First I'll say ""You'll never guess who saw Fry and Morgan doing it,"" and they'll say ""Who, Bender? Who?"" and I'll say ""It was lovable ...  ... old Bender.""",497
5361,Fry,"Hey, what did you do to him?",497
5362,Morgan,"I downloaded his brain. Everything that is Bender is right here. His mind, his memories, his in-your-face interface.",497
5363,Bender,I am Bender. Please insert girder.,497
5364,Fry,"But, but ... Bender need brain ... for ... smart making.  What did you do now? Stop doing things!",497
5365,Morgan,"I sent the disk to be filed at the Central Bureaucracy. I did what I had to do, Fry; He was a bad robot.",497
5366,Fry,"No, he was a bad friend. I want him back right now.",497
5367,Morgan,Then you should have filed a request 20 years ago.,497
5368,Fry,I'm sick of you and your bureaucracy!,497
5369,Morgan,Dirty boy! Dirty boy!,497
5370,Leela,You and Morgan were having an affair?,497
5371,Fry,I couldn't help it. She loved me because of the part of me that's a slob and I loved her because of the part of me that's desperate.,497
5372,Bender,I am Bender. Please insert girder.,497
5373,Fry,Poor Bender. Without his brain he's become all quiet and helpful. We've got to go to the Central Bureaucracy and get that disk back!,497
5374,Amy,Yeah!,497
5375,Farnsworth,"Oh, yes, we must, yes.",497
5376,Amy,Why?,497
5377,Leela,"Well, those arguments aside, we're still going.",497
5378,Farnsworth,You can't just waltz into the Central Bureaucracy. It's a tangled web of red tape and regulations. I've never been but a friend of mine went completely mad trying to find the washroom there.,497
5379,Leela,Then we'll need a guide. Someone who's been there before.,497
5380,Farnsworth,"Oh, I've been there. Lots of times!",497
5381,Hermes,Look at that,498
5382,Australian Man,"Quiet, mate. Pulling the empty carts is the closest thing we get to sleep.",498
5383,Hermes,But don't you see? They could increase efficiency 4% if they used the empty carts to bring in heavy mining machinery.,498
5384,Man,"Hey, I like the way you think.",498
5385,Australian Man,"Oh, Lord!",498
5386,Man,"You know, you oughta be a bureaucrat or something.",498
5387,Fry,"Man, how long is this gonna take?",499
5388,Old Man,I'm still waiting on my birth certificate.,499
5389,Farnsworth,"Well, it doesn't look like I'll make it inside with the rest of you. Uh, but good luck. Just leave me where I drop.",499
5390,Old Man,"Oh, great! Someone had a baby.",499
5391,Leela,Come on. I have a better idea.,499
5392,Leela,Excuse me? We're from the Planet Express delivery company. We're here to deliver a robot.,499
5393,Bender,I am Bender. Please insert girder.,499
5394,Grade 53 Bureaucrat,Looks like we've got a new office cut-up!,499
5395,Grade 41 Bureaucrat,Look out! Look out! I'm gonna crash my slow-mobile! I had to swerve to avoid you.,499
5396,Leela,"While you're crashing, could you tell us where all these canisters end up?",499
5397,Grade 41 Bureaucrat,"Oh, you want Central Filing.",499
5398,Leela,OK.,499
5399,Fry,OK.,499
5400,Amy,"OK, thanks.",499
5401,Farnsworth,Wonderful.,499
5402,Grade 41 Bureaucrat,Nooo!,499
5403,Grade 20 Bureaucrat,Central Filing? Of course I know where that is. I'm a grade 20.,499
5404,Leela,Where is it?,499
5405,Grade 20 Bureaucrat,I can't tell you. What do I look like? A grade 16?,499
5406,Leela,"We're getting nowhere slowly. Here, I'll address this to the Central Filing room.  Then we'll track it using my wrist LoJack-a-mater.",499
5407,Wrist Machine,"Cold. Cold. Warmer. Hot, hot, hot, hot, hot, hot.",499
5408,Grade 11 Bureaucrat,Please don't tell my supervisor I was sleeping.,499
5409,Leela,"This is it. We'll just run in, grab Bender's disk and run out. Got it?",500
5410,Fry,"We'll never find that disk will we, Bender?",500
5411,Bender,I am Bender. Please insert girder.,500
5412,Fry,You're right. Nothing is over as long as there's one thin ray of hope.,500
5413,Morgan,Lost something?  I should have known you'd come here rather than follow proper procedure. And I did know. And that's why I came here.,500
5414,Fry,"Listen, Morgan, we're through. You're an evil, heartless woman and I never wanna see you again. However, would you help us get Bender back for old time's sake?",500
5415,Morgan,"I'm afraid he's lost in the master in pile, and it would take some sort of giant, mechanical, atomic-powered sorting machine to find him.",500
5416,Hermes,You rang?,500
5417,Farnsworth,"Damnit, Hermes, just jump already. Stop hogging that healthy liver.",500
5418,Hermes,"No, I want to live. Organising that forced-labour spa rekindled my lifelong love of bureaucracy.",500
5419,LaBarbara,My Hermes got that hellhole running so efficiently that all the physical labour is now done by a single Australian man.,500
5420,Leela,But how did you know we were here?,500
5421,Hermes,Dr. Zoidberg brought us.,500
5422,Zoidberg,It was me! I'm the hero!,500
5423,Number 1.0,Request for explanation of incident meeting?,500
5424,Morgan,Number 1.0.,500
5425,Hermes,"Number 1.0, I hereby petition you for an emergency sort-and-file, under regulation 2 point--",500
5426,Number 1.0,D-D-D-D-Don't quote me regulations. I co-chaired the committee that reviewed the recommendation to revise the colour of the book that regulation's in. We kept it grey.,500
5427,Hermes,"Sir, please, I must located the disk with my friend's brain on it.",500
5428,Number 1.0,Very well. But your bureaucratic licence will be revoked if you fail to sort the master in pile by closing time,500
5429,Leela,That's only four minutes from now.,500
5430,Hermes,"Requisition me a beat. When I was four there was a hurricane in Kingston Town,With a foot and a half of water,Everyone was alright but I cried all night,It blew my alphabet blocks out of order,And they said, ""This boy's born to be a bureaucrat,Born to be all obsessive and snotty,""I made my friends and relations file long applications,To get into my 10th birthday party.",500
5431,LaBarbara,But something changed when my man turned pro.,500
5432,Hermes,I was sortin' but I wasn't smilin'.,500
5433,LaBarbara,He forgot that it's not about badges and ranks.,500
5434,Hermes,"We didn't choose to be bureaucrats,No, that's what almighty Jah made us,We treat people like swine,And make 'em stand in line,Even if nobody paid us!",500
5435,Hermes,Zoidberg!,500
5436,Zoidberg,They said I probably shouldn't be a surgeon.,500
5437,Farnsworth,They pooh-poohed my electric frankfurter.,500
5438,Leela,They said I probably shouldn't fly with just one eye.,500
5439,Bender,I am Bender. Please insert girder.,500
5440,Hermes,Everybody sing Jamaica!,500
5441,All,Jamaica!,500
5442,Hermes,"Just the bureaucrats, Jamaica!",500
5443,Bureaucrats,Jamaica!,500
5444,Hermes,The grade 19's!,500
5445,Morgan,Jamaica.,500
5446,Hermes,"Sing me home!When push comes to shove,You gotta do what you love,Even if it's not a good idea!",500
5447,Bender,"I'm Bender, baby! Please insert liquor!",500
5448,Fry,Yeah!,500
5449,Zoidberg,Congratulations.,500
5450,Number 1.0,Congratulations indeed but you finished with one second to spare so I'm demoting you. A good bureaucrat never finishes early.,500
5451,Amy,"That's OK, Hermes. At least we have you back.",500
5452,Morgan,"Not yet you don't. I'm still acting bureaucrat of Planet Express. And I have some changes to make. First, Fry, you're fired. Second--",500
5453,Hermes,Not so fast! While I was sorting I came upon a certain document filed by one Morgan Proctor. Form B,500
5454,Fry,"That's right, she fraternised me!",500
5455,Morgan,That form isn't about you. It refers to my high school prom date. It was a regulation date that ended in regulation disappointment.,500
5456,Hermes,"Yes, but you only stamped it four times!",500
5457,Morgan,No! No! I was young and reckless.,500
5458,Number 1.0,"Bureaucrat Conrad, you are technically correct -- the best kind of correct. I hereby promote you to grade 37.  Bring me the forms I need to fill out to have her taken away!",500
5459,Farnsworth,"Well, it looks like I'll be needing my heroic bureaucrat back. At severely-reduced pay, of course.",500
5460,LaBarbara,It's better than nothing.,500
5461,Fry,What about me? Can I come back at severely-reduced pay?,500
5462,Hermes,"You got it, mon! In fact, severely-reduced pay all around!  Come on, wife, let's blow this joint!",500
5463,Zoidberg,"Now it's time for my song!  When I was two, there was a tidal wave in--",500
5464,Zoidberg,Aw.,500
5465,Hermes,"Exciting news, people! The pet licence I requisitioned for Nibbler has arrived.",501
5466,Leela,"Hermes, that's sweet. I didn't know you cared about Nibbler.",501
5467,Hermes,"Dream on, woman. I'd like to put the little bastard in a sack and toss the sack in a river and hurl the river into space. But I do like filling out requisitions and these were some doozies!  Great Jah's dreadlocks! There's been a mix-up. This isn't a pet licence, it's a fishing licence. And it's mandatory!",501
5468,Farnsworth,Ah! The exact centre of the Atlantic Ocean. This seems the logical place for fish to congregate.,502
5469,Bender,So we're in international waters?,502
5470,Farnsworth,Indeed so.,502
5471,Bender,"Falcon, this is Blue Raven, the goose has nested. Repeat, the goose has nested.  Hey, guess what you're accessories to?",502
5472,Leela,"The sun, the sea air, good friends.",502
5473,Bender,"Leela's right, fishing blows. Whattya say we make it interesting?",502
5474,Hermes,Why not?,502
5475,Amy,Yeah.,502
5476,Farnsworth,"Yeah, cool.",502
5477,Bender,"Everybody kick in five bucks.  There, wasn't that interesting?",502
5478,Leela,Bender!,502
5479,Fry,This contest is as good as over. I once caught a fish this big.,502
5480,Bender,"Oh, yeah? I once caught a fish this big!",502
5481,Leela,"I'm afraid you're both out of your league, boys, 'cause you're looking at a woman who owns her own harpoon.",502
5482,Bender,"Harpoon, my ass!",502
5483,Leela,OK.,502
5484,Hermes,"Let's see now, which bait to use?  Crickets? Squid? Chicken necks?",502
5485,Zoidberg,"Excuse me, if I might be so bold, I'm willing to offer my services as a bait critic.  ... very, very juicy--",502
5486,Hermes,"I don't believe this! It's eating my bait!  Beat it, you mooching crawdad!",502
5487,Bender,"Hey, Fry, check out my laser-guided fishing rod.",502
5488,Fry,"Quiet, Bender, you're scaring away the fish.",502
5489,Bender,Fine. I'll head over to the other side.  Good luck fishing on this side!,502
5490,Fry,I can hit a fish between the eyes from 20 yards!,502
5491,Bender,"Oh, yeah? I can hit a shrimp!",502
5492,Fry,A shrimp?  I find it a bit hard to believe that--,502
5493,Leela,"Aha!  Gather round, chumps! I got the winner!",502
5494,Amy,"Oh, so this is where you shop for your boots?",502
5495,Bender,Couple more of those and you'll have yourself a fish stick!,502
5496,Fry,"Hey, a fish this fine belongs in a fish nugget-style chunklet. And anyway, it's bigger than anything you've caught.  Ow! My small intestine!",502
5497,Leela,"Bingo! Whatever it is, it's 20 times heavier than a boot.",502
5498,Farnsworth,You'll never catch anything with that primitive technology. What you need is this fish pheromone.  Uh-oh!,502
5499,Zoidberg,I'm so into you!,502
5500,Farnsworth,"Oh, my!",502
5501,Fry,"Hey, Bender, I just caught a fish this big!",502
5502,Bender,"Quit exaggerating, Fry. Ah, screw this!  There. Like most of life's problems this one can be solved with bending.",502
5503,Farnsworth,"Bender, be careful. That's the ship's diamond filament tether. It's unbreakable.",502
5504,Bender,Then why do I have to be careful?,502
5505,Farnsworth,It belonged to my grandmother.,502
5506,Hermes,My Manwich!,502
5507,Leela,"Wake up, everyone! I've got something. And this time it's alive!  Dr. Zoidberg, since when do you even wear boots?",502
5508,Zoidberg,I wasn't wearing it.  I was eating it.,502
5509,Leela,"Come on, let's go home.",502
5510,Amy,Sunburn! My fabulous body! It's ruined! What happened to my parasol?,502
5511,Bender,I don't know. It wasn't here when I took your umbrella.  What? I put sunblock on you.,502
5512,Amy,Well it didn't work!,502
5513,Leela,"Come on, Bender. Pull in your line and let's go.",502
5514,Bender,"Hey, I'm snagged.",502
5515,Farnsworth,"It's not snagged, the mechano man has caught something!  Sweet Zombie Jesus! It's huge!",502
5516,Amy,It's coming up!,502
5517,Hermes,"Oh, that's big!",502
5518,Farnsworth,A colossal-mouth bass!,502
5519,Fry,It's diving!,502
5520,Leela,It's pulling us under! Everyone into the ship!,502
5521,Zoidberg,"Wait! I'll save us! By cutting the unbreakable diamond filament!  Well, at least I'll die with my friends. Hello?",502
5522,Hermes,My Speedos!,502
5523,Leela,"Depth at 45 hundred feet, 48 hundred, 50 hundred! 5000 feet!",503
5524,Farnsworth,"Dear Lord, that's over 150 atmospheres of pressure.",503
5525,Fry,How many atmospheres can this ship withstand?,503
5526,Farnsworth,"Well it's a spaceship, so I'd say anywhere between zero and one.",503
5527,Bender,What's that? Is someone bending girders?,503
5528,Leela,We'll be crushed if we don't equalise the pressure.,503
5529,Fry,How do we do that?,503
5530,Farnsworth,That should do it.,503
5531,Amy,We're all gonna die!,503
5532,Fry,"Wait, I'll be back in a minute.",503
5533,Leela,"You did it, Fry!",503
5534,Fry,Did what?,503
5535,Bender,"People, it's far, far worse than we thought; my fish got away.",503
5536,Leela,"There. Good as new! Except we're three miles below the surface, we don't have any food and the ship won't work underwater.",504
5537,Bender,Tempers are wearing thin. Let's just hope some robot doesn't kill everybody.,504
5538,Hermes,"The important thing is that we don't panic. There are rules for situations like this.  Now, the first order of business is lunch. I suggest a nice lobster Zoidberg-- I mean lobster Newburg-- I mean Doctor Zoidberg.",504
5539,Leela,"OK, everyone, calm down. The Professor and I will get to work on the ship. Bender, Zoidberg, since you can survive underwater, you'll go out and look for food.",504
5540,Fry,I'd better go too. They don't know what I like.,504
5541,Hermes,"Fry, no! The pressure will crush you like a green snake under a sugar cane truck.",504
5542,Farnsworth,Not necessarily. This is chance for Fry to test out my experimental anti-pressure pill.,504
5543,Fry,I can't swallow that.,504
5544,Farnsworth,Well then good news! It's a suppository.,504
5545,Zoidberg,"How are you doing there, Fry?  Aha!",505
5546,Bender,"Aw, yeah!",505
5547,Zoidberg,"Yum, yum, yum!  Look at me, I'm Dr. Zoidberg, homeowner!",505
5548,Zoidberg,"Careful, Fry, I think that flag might be poisonous.",505
5549,Bender,"Ahoy, mateys! I shanghaied us some hearty grog.  Arr! The laws o' science be a harsh mistress!",505
5550,Zoidberg,"Say, robot, old buddy? Could you help me move a couch?",505
5551,Bender,"Uh, OK, but I'm not carrying it upstairs.",505
5552,Zoidberg,"What is it, Fry?",505
5553,Fry,I think I saw a mermaid.,505
5554,Bender,You want some lemonade? You saw a big parade?,505
5555,Zoidberg,"Your student loans have been repaid? Then how 'bout lending your old pal Zoidberg a few bucks, Mr. Millionaire!",505
5556,Leela,"Fry, swallow your food. Then talk.",506
5557,Fry,A mermaid!,506
5558,Amy,You think you saw a mermaid?,506
5559,Fry,"No, I did see a mermaid! She was wearing a tube top and she had a beautiful scaly tail. And I think she had hair extensions.",506
5560,Bender,"Yeah, right!",506
5561,Leela,Sure she did.,506
5562,Hermes,"OK, Fry!",506
5563,Farnsworth,"You're simply hallucinating, you ... moron.",506
5564,Fry,"What's so far-fetched about mermaids? I mean, there's all sorts of weird sea creatures here in the future. Like Dr. Zoidberg.",506
5565,Leela,I'm afraid Fry is suffering from ocean madness.,506
5566,Fry,"Every time something good happens to me you say it's some kind of madness, or I'm drunk, or I ate too much candy. Well I saw a real mermaid and I wish for once my friends would have decency and kindness to believe me.",506
5567,Leela,Ocean madness.,506
5568,Farnsworth,He may have ocean madness but that's no excuse for ocean rudeness.,506
5569,Fry,Oh! oxygen!,507
5570,Mermaid,"Here you go, darlin'.",507
5571,Fry,"Hey! I can breath and talk, just like a fish!",507
5572,Mermaid,"Oh, you speak fish?",507
5573,Fry,What?,507
5574,Mermaid,"I'm sorry, my accent's atrocious. Hi, my name's Umbriel!",507
5575,Fry,"I'm Fry. So, uh, am I gonna drown?",507
5576,Umbriel,Course not. Just stay calm and let the currents relax your every muscle.,507
5577,Fry,"Aw, yeah!",507
5578,Umbriel,Did it just get warmer?,507
5579,Fry,I can't believe you're really real. I like your tail.,507
5580,Umbriel,"Oh, you're sweet. I like those wiggly doo-dads comin' outta your hips.",507
5581,Fry,"Oh, thanks. They're called pants.",507
5582,Umbriel,This here's a volcanic vent. The water comes out at over 4000 degrees.,507
5583,Fry,No kidding.,507
5584,Umbriel,Did it just get colder?  Tell me more about that bizarre land-y world you come from. Is there water there too?,507
5585,Fry,Sure. Sometimes it falls from the sky.,507
5586,Umbriel,Hm.,507
5587,Fry,And sometimes it doesn't.,507
