,Quotes,Characters
3669,Oh man I gotta work on my act,Bender
3670,I feel like a rat Here I am whining like a pig while all along Leela was lonely as a frog I could kick myself,Fry
3673,You should be ashamed of yourself Fry Youd have to be blind not to notice that Leelas a cyclops,Farnsworth
3676,Xmas Eve another pointless day where I accomplish nothing,Bender
3681,To volunteer at a liquor kitchen for homeless robots,Bender
3683,Im very generous What about that time I gave blood,Bender
3686,Ive got to do something to show Leela how sorry I am,Fry
3688,So its left left right Wait I have a better idea Ill go out and get her the perfect Xmas present Something so great shell never want to be unhappy again,Fry
3690,Well see I like to haggle,Fry
3693,Good Lord He doesnt know about Santa Claus,Farnsworth
3694,I know about Santa Claus,Fry
3695,Back in 2801 the Friendly Robot Company built a robotic Santa to determine whod be naughty and whod been nice and distribute presents accordingly But something went wrong,Farnsworth
3697,Wait you fool Due to a programming error Santas standards were set too high and he invariably judges everyone to be naughty,Farnsworth
3701,Yeah yeah amen Listen Im one of those lazy homeless bums Ive been hearing about Could you point me to the free booze  Oh yeah Oh yeah,Bender
3702,Theres this girl who I really like but she thinks Im a jerk Can you help me,Fry
3704,No I need to get her a gift And I need it before sundown,Fry
3708,Oh yeah You filthy hobos sure know how to live  Hey chief someones stealing your handkerchief full of crap,Bender
3713,Youre the last store open I need something for my friend Leela  Just give me your best animal,Fry
3715,Thats a stupid animal Youre stupid I said I want the best one Now which costs more The parrot or the Stink Lizard,Fry
3717,Thats a hell of a good parrot Although I could get 500 lizards for the same price Girls like swarms of lizards right,Fry
3719,Alright Ill take the 500 lizards No wait yes No Yes Yes Yes The parrot,Fry
3720,Well I spent every penny I had but I bet Leelas gonna love you  Stupid bird I know where you live,Fry
3722,Sorry I stormed out before I didnt mean to ruin everyones Xmas,Leela
3724,Its just that I get tired of Fry always only thinking of himself,Leela
3726,Wait You mean hes still out His lifes in danger,Leela
3728,Im telling you why Santa Claus is coming to town,Leela
3729,Alright bird you thought you could beat me in a game of wits But you just met your equal,Fry
3732,Leela Oh my God You saved my life I am gonna get you so many lizards,Fry
3733,You didnt need to buy me a present Fry,Leela
3734,I just wanted to do something to make you happy I mean I miss my family but you never even had a family,Fry
3735,Its OK Youre lonely and Im lonely But together were lonely together,Leela
3742,But we set things right Fry even risked his life to get me a present,Leela
3748,Whoa hold on How about inviting us in for a traditional glass of hard cider,Bender
3751,Please let us live Well put out milk and cookies for you,Fry
3754,I never thought it would end this way,Fry
3756,Goodbye Leela  Hey look were under the mistletoe,Fry
3758,Uh youre present may need some assembly,Fry
3759,On the 4th day of Xmas I stole from that lady,Bender
3763,And a slipper on a shoe tree,Bender
3768,No wait I know these guys They got nothing,Bender
3770,What Me I didnt do nothing Youre thinking of the kid,Bender
3779,Oh dear Theyll be killed on our doorstep And theres no trash pickup until January 3rd,Farnsworth
3781,Quick The armourplated chimney cover  Push Push,Farnsworth
3787,Yeah Well I dont believe in Santa Claus Come on everybody if you dont believe in him he cant hurt you  Ow God The pain,Bender
3789,Watch out His belly is shaking like a bowl full of nitroglycerine,Leela
3793,Yes good thing I got us out of that one,Farnsworth
3795,Uh Bender Where did you get that bird,Fry
3796,I found it lying in the street like all the food I cook Dig in everyone,Bender
3798,You got the toenail  Oh,Bender
3799,Look the food isnt whats important,Fry
3801,The important thing is were all together for Xmas And even though Im surrounded by robots and monsters and old people Ive never felt more at home,Fry
3802,Hear hear Now lets all of us shut up and sing,Farnsworth
3804,He knows when youre on the can,Farnsworth
3805,Hell hunt you down and blast your ass from here to Pakistan,Leela
3808,Youre better off dead Im telling you dude,Bender
3809,Santa Claus is gunning you down,Fry
3815,Mmm Mmm Now this is what I call a thousand years of progress,Fry
3816,Aw jeez Lets just pray I have the energy to get myself another beer  Oh what is this the Middle Ages,Bender
3817,Look at you guys No offence Fry but youve become a fat sack of crap,Leela
3820,Come on Were taking you pigs to the gym,Leela
3826,Coed steam rooms I love the future,Fry
3827,Uh Fry youre in the womens steam room,Leela
3830,Those poor 20th century women,Leela
3833,Hey Leela look whos the superstud,Fry
3834,Hmm somebody must have turned down the gravity Ill fix it for you,Leela
3836,Hey Dr Zoidberg whats that jazz on your head,Fry
3838,Maybe you could do more reps with less weight,Leela
3839,Hey looks like Zoidbergs finally coming out of his shell  Hes coming out,Bender
3842,I wonder why Dr Zoidberg is acting this way Out of all of us he always seemed the most normal,Leela
3845,Maybe he has a parasite,Fry
3847,Its always so sad when a friend goes crazy and you have to have a big clambake and cook him Yeehaw,Bender
3848,Now now this wont do Let me just give old Zoidy a sedative,Farnsworth
3854,Mmhm  Aha Theres the problem,Farnsworth
3856,Relax my chitony chum Theres no problem Youre just heavy with male jelly,Farnsworth
3858,It must be mating season for Zoidbergs people a chaotic time when his behaviour is dictated by the tiny brain in his rump,Farnsworth
3860,Theres only one thing we can do,Farnsworth
3861,Ill get the water boiling,Bender
3862,We by which I mean you will have to rush him to his ancient homeworld which will shortly erupt in an orgy of invertebrate sex,Farnsworth
3864,Fry do you even understand the word invertebrate,Leela
3865,Nope but thats not the word Im interested in  Uh no need to pack pants people Lets roll,Fry
3871,Is that how you say Zoidberg,Fry
3873,Youre looking less nuts crabby,Bender
3875,Whos the lucky lobsterina,Fry
3877,Its amazing that your people can fall in love so fast,Leela
3879,You and me both brother,Fry
3882,Look Outdoor theatre Lets get tickets Oh lets do,Bender
3884,I didnt come here to see any activity involving two guys Where do you people do your erotic display,Fry
3889,Hey I wonder if these guys are here to watch the erotic display too,Fry
3892,Look how ridiculous they look,Fry
3893,Please hes no different from the rest of you organisms shooting DNA at each other make babies I find it offensive,Bender
3901,Why is Zoidberg the only one still alone,Leela
3902,Cause hes a loser thats why Hes the lobster equivalent of Fry,Bender
3903,Hey I can get any girl I want anytime I want Im just too busy,Fry
3911,At least you didnt smell as bad as them,Leela
3913,Listen Doc if you wanna score you gotta fake like youre in love  Ive never been so happy,Fry
3914,If a guy ever did that to me Id know it Wait a second Theyve all been doing that to me Even Sean,Leela
3916,OK youre on a date Whats the first thing you do,Fry
3918,No Tell her shes special,Fry
3920,Well tell her that And then,Fry
3922,No Make up some feelings and tell her you have them  Yes,Fry
3926,OK OK dont worry The love meister will take you under his wing,Fry
3931,You just wanna talk it has nothing to do with mating,Fry
3934,Start with a compliment Tell her she looks thin,Fry
3937,Now ask her how her day was,Fry
3943,Thats normal Just nod your head and say Uhhuh,Fry
3948,So I returned his artificial heart and ever since then Ive been known by the name of Honest Bender,Bender
3953,Thats the most beautiful thing Ive ever heard,Fry
3957,Nope Must be some weird alien emotion,Fry
3958,Zoidberg said some dumb stuff but hes a nice guy really Its just that Frys been telling him what to say and Frys a  do you have idiots on your planet,Leela
3960,Yeah  what Look never mind the words Zoidbergs a doctor A doctor honey,Leela
3964,No thanks I just came to tell you that Zoidbergs really great Hes got male jelly coming out the wazoo,Fry
3966,Uh Im flattered really If I was gonna do it with a big freaky mud bug youd be way up the list,Fry
3969,Dr Zoidberg its not how it looks,Fry
3982,Dr Zoidberg this is madness Youre being irrational,Leela
3986,Right right  You have to stop this madness,Leela
3988,Fate is cruel and unyielding and what must be must be  Takin all bets Im giving 92 on Zoidberg the crab with the jab The Great Red Hope Come on baby,Bender
3999,Fry Ive never asked you for anything before but if its not too much trouble when it comes to the ninth round just let him win,Bender
4000,But its a fight to the death,Fry
4001,Oh so this is suddenly all about you Sheesh,Bender
4007,Come on Fry Die with dignity,Leela
4013,My fellow fish monsters far be it for me to question your stupid civilisation or its dumb customs but is squeezing each others brains out with a giant nutcracker really going to solve anything Dr Zoidberg is my friend and though a woman has come between us I say well always remain friends And you know why  You bastard Ill kill you You bastard,Fry
4014,Wait Stop Everyone is gone,Leela
4026,Shoo Get away Hey Whats with the flying jerks,Bender
4028,You mean you have to choose between a life without sex and a gruesome death,Fry
4038,I dont mean to nitpick superdoc but do you think maybe you could take one more whack at this,Fry
4055,Hey Bender I thought you said you were in this episode,Leela
4056,Nah this week Im on Caught On Tape 3 cause of what I did in the coffee pot,Bender
4061,Shut up and get to the point,Bender
4068,Sounds like your kinda place Fry Wanna go,Leela
4069,Nah If I ever wanna go back to the year 2000 Ill just freeze myself again,Fry
4070,Cmon Fry I really wanna see it You know how I yearn for a simpler time A time of barn dances and buggy rides before life was cheapened by heartless hitech machines,Bender
4072,Blah blah blah blah blah blah blah blah blah blah blah blah,Bender
4073,Cool its just like the good old days,Fry
4075,Hey Leela get a picture of me being mugged,Fry
4078,Ooh ancient Wall Street,Leela
4082,Do you know what it means,Leela
4083,Yeah I asked a cop once It means Up yours kid,Fry
4084,I gotta say Im really enjoying the day out with you people Hey a suicide booth So long suckers,Bender
4085,Uh sorry Bender thats just a phone booth,Fry
4087,What were they used for,Leela
4089,Oh IIll be out in a sec,Leela
4093,Whats this  Another bathroom,Leela
4094,No its a mobile apartment with no rent,Fry
4096,Wow The burial chamber of the 20th centurys greatest spiritual leader Al Sharpton,Leela
4097,Ooh Now this guy had taste,Bender
4098,It says he was mummified in ceremonial vestments,Leela
4099,We sometimes called it a jogging suit,Fry
4106,Weve come a long way baby,Bender
4108,Hey my girlfriend had one of those Actually it wasnt hers it was her dads Actually she wasnt my girlfriend she just lived next door and never closed her curtains,Fry
4109,Fry remember when I told you about always ending your stories a sentence earlier,Leela
4110,Cmon lets sneak in for a closer look,Fry
4112,Hey This is from Millers Outpo Uh I mean yeah I work here alright,Fry
4114,Did you drive much in the 20th century Fry,Leela
4115,Nope  Nice Listen to that baby purr,Fry
4116,Theres a baby in there huh,Bender
4117,Its just like riding a bicyc,Fry
4119,You cant have whiplash you dont have a neck,Leela
4121,Im just glad we hit something I thought wed never stop,Fry
4123,Hows that robot I ran over,Fry
4127,Leela Zoidberg the rest of you this is Flexo,Farnsworth
4130,Hey brobot whats you serial number,Bender
4134,Were both expressible as the sum of two cubes,Bender
4135,So uh Flexo Sorry about crushing your body like that You OK now,Fry
4137,Well just let me know if theres anything I can do to make it up to you,Fry
4143,Uh I cant get any lower than this,Fry
4149,I dont like this place Its 120 degrees and theres very little oxygen,Fry
4150,Shut up and hoot  Hubbahubba she is built  in Mexico I believe,Bender
4152,Uh yeah Look at that exhaust fan,Fry
4158,Uh no no thats alright  Ow Ow Ow Ow,Fry
4159,Im telling you theres something about Flexo I dont like,Fry
4162,Yeah keep laughing brine shrimp but hes bad news I regret ever running him over,Fry
4164,Hes much worse He drinks and smokes and he posts naked pictures of me on the Internet,Fry
4167,Oh I get it This is cute Youre jealous of Benders new friend,Leela
4168,No Im not Mark my words,Fry
4170,Good news everyone Report to my bedroom for a private exhibition,Farnsworth
4171,Everyone get in bed with me I have something to show you  Feast your eyes on this,Farnsworth
4176,Its a single atom of jumbonium an element so rare the nucleus alone is worth more than 50000,Farnsworth
4178,100000 Thats why I hid it here under my mattress,Farnsworth
4179,Uh Professor can we discuss this somewhere else,Leela
4181,The atom sits atop this dimestore tiara which will be awarded to the winner of this years Miss Universe pageant on the planet Tova 9  Your job is to deliver it safe and sound,Farnsworth
4187,Due to the atoms tremendous value Planet Express would go bankrupt if it was stolen Therefore well need to hire on additional security for the mission,Farnsworth
4189,Uh maybe we should stick with people we know and trust I mean Flexos great but,Fry
4190,Flexos great you say Well thats good enough for me  Welcome aboard lad,Farnsworth
4191,Space bandidos have been operating in this quadrant so youll each take 8hour shifts guarding the safe First Bender then Flexo then Fry,Leela
4192,Wait hold on I dont like the sound of that Lets just go alphabetically,Fry
4193,OK First Bender then Flexo then Fry,Leela
4195,OK First Bender then Flexo then Fry,Leela
4201,Look I know Flexos your friend but I dont trust him alone with the atom,Fry
4202,My God Fry Just cause the guys got a beard you label him as evil Well I got a label for you pal,Bender
4204,Ah save it for the crossburning Adolf,Bender
4209,Caught you  I saw you looking at the atom,Fry
4211,Ohho youd like it if I went to sleep wouldnt you,Fry
4213,Yeah well heres a funny joke,Fry
4224,Finally the atom is safe,Fry
4225,What is it  My God Did you hear maracas,Leela
4227,Then it wasnt space bandidos  Bender lock down the ship Dont let Flexo escape,Leela
4228,Aye aye Captain It appears that Flexo has outwitted us all Especially me  Bender,Bender
4229,How could Flexo have stolen the atom,Leela
4230,He must have used a sleepray on me Sleeprays exist in the future right,Fry
4232,Oh Then I mustve fallen asleep,Fry
4233,Well you were sure right about Flexo being evil,Leela
4234,I locked down the exits but he may have already gotten away,Bender
4235,OK thanks Bender Lets fan out and look for him,Leela
4236,Roger that I got a map of the ship right here,Bender
4237,Keep an eye on Fry We cant rule out the possibility that he did it,Leela
4240,Fry Why are you looking for Flexo in my underpants drawer,Leela
4241,I didnt find him here 10 minutes ago so I thought it was time to check again,Fry
4242,Well he wasnt in the uh kitchen room,Bender
4243,Say Bender can I hold that map for a second,Fry
4244,And leave me high and dry in case of a scavenger hunt I think not,Bender
4247,Well looks like Flexo got away clean,Leela
4249,He must have jumped ship with the atom the second we landed,Leela
4250,Or maybe he never left at all  Wait a minute Youre Bender,Fry
4251,Of course who said I wasnt,Bender
4252,But why were you wearing that scarf and the turtleneck and this fruity number,Fry
4253,Its a little thing called style Look it up sometime,Bender
4264,Well uh well be leaving now If youll just sign this form saying you received the atom,Fry
4268,Well gentlemen it appears were boned,Leela
4274,Shoot him hes choking me,Bender
4276,I dont know which one to shoot,Leela
4279,Alright enough of this  Theres the atom,Leela
4281,Bender You stole the atom,Fry
4282,Yeah but I can explain its very valuable,Bender
4284,Whoa whoa wait a second You mean Bender is the evil Bender I am shocked Shocked Well not that shocked,Fry
4285,Im sorry we suspected you Flexo Its just what with the beard and all,Leela
4287,Im so confused The Bender I liked turn out to be evil and the Bender I hated was good How can I live my life when I cant tell good from evil,Fry
4288,Eh theyre both fine choices Whatever floats your boat,Bender
4295,It figures Who else but Zapp Brannigan would be judging the most chauvinistic degrading dehumanising,Leela
4297,Wait youre making a  I feel like a princess,Leela
4299,I almost had that tiara,Leela
4301,Well you guys might both be losers but I just made out with that radiator woman from the radiator planet,Fry
4303,Oh  Is there a burn ward within 10 feet of here,Fry
4308,Mind if I tag along I gotta bring my ass in for servicing  The recall notice says it could burst into flames in a lowspeed collision,Bender
4309,No wonder youve been staying at the back of conga lines lately,Fry
4310,Ill get my coat Lets go Bender,Leela
4312,Uhhuh Now tell us shes witty and sophisticated,Leela
4315,Yup shes beautiful coffee alright,Fry
4317,Sorry Im not here to buy,Fry
4319,I care I care plenty I just dont know how to make them stop,Fry
4328,You sir have defaced a national treasure I demand you restore my buttocks to their former glory,Bender
4332,OK the sticker says 55000 but well only go as high as say,Leela
4335,Amy you dont go up from the sticker price,Leela
4341,Hermes who were you yelling at,Leela
4343,Valentines Days coming Oh crap I forgot to get a girlfriend again Well since neither of us has a date why dont we,Fry
4344,You just assume I cant get a Valentines date,Leela
4345,Shall we say eight oclock,Fry
4347,Yeah OK Whats the weather like,Fry
4350,Boy this AC is incredible  Boy this heater is incredible Id better turn up the AC some more,Fry
4362,Ive been there My folks were always on me to groom myself and wear underpants What am I the Pope,Fry
4364,Yeah its like we feel the same way about junk and stuff or whatever,Fry
4377,And it led there again when we got home,Fry
4378,Congratulations Fry you snagged the perfect girlfriend Amys rich shes probably got other characteristics,Bender
4379,Bender Romance isnt about money,Leela
4380,Oh so its just coincidence that Zoidberg here is desperately poor and miserably lonely Puhlease,Bender
4381,For your information its because hes hideous,Leela
4383,Do I hear wedding bells,Farnsworth
4387,Wait You mean people will pay good money for romance Hmm I think I have a scheme so deviously clever that I,Bender
4389,Stupid antipimping laws  Well pay the man,Bender
4392,Ah computer dating Its like pimping but you rarely have to use the phrase upside your head,Bender
4393,Bender this is stupid Why would anyone come to you for romantic help,Leela
4394,Hey Dont make me go upside your head,Bender
4397,Wait why arent we making out,Fry
4401,Just check off the things youre looking for in a love partner,Bender
4403,Now to run it through our highspeed romancealogical datafier  Say hello to Miss Right,Bender
4407,Hey yeah I used to spit at stuff back in the 20th century Ah its cool how we sort of think exactly alike and junk,Fry
4409,Everything was going great Then all of a sudden shes talking about hanging out Hanging out Shes getting way too serious Im not a one woman man Leela,Fry
4410,Youll be back to zero soon enough,Leela
4411,Dont you get it Shes smothering me,Fry
4413,You see You see Now shes bothering me when Im at work,Fry
4415,Im doing my job theres Amy I spend a few hours selecting a candy from the machine theres Amy I wake up the morning after sleeping with Amy theres Amy,Fry
4416,I think youre over reacting,Leela
4417,Am I  I mean Im pulling down delivery boy money,Fry
4418,Fry shes pulling down billionaire trustfund money,Leela
4419,Then she wants me as a trophy husband Leela you gotta come to Europa with us I cant be alone with her,Fry
4421,Hey you know who loves secluded picnics with just you and me  Uh Dr Zoidberg,Fry
4425,Jeez were already planning to spend Valentines Day together Isnt that enough,Fry
4427,Oh so all of a sudden were spending Valentines Day together,Fry
4429,Thats it Amy we have to talk Zoidberg you drive,Fry
4433,Amy you know how at first you like chocolate but then you start to get tired of it because it always wants to hang out with you,Fry
4435,Look could chocolate just let me finish,Fry
4437,Amy what Im trying to say is I think maybe you and I should stop,Fry
4440,Ow My head is killing me What happened Was anybody hurt,Fry
4447,This sort of thing always happens with office romances,Leela
4449,Well Amy Ill try not to interfere with your life too much,Fry
4451,Ooh sorry I guess I control that arm,Fry
4453,Oh that  Ill meet you in the closet,Fry
4454,Amy I really like you as a friend But I think were spending too much time together,Fry
4456,I just think we should start seeing other people,Fry
4462,Hey I can get a date too Now that Im single Ill attract all sorts of women,Fry
4466,Are you familiar with my friend Al Gore Im tellin you losers get really desperate around Valentines Day,Bender
4467,Yeah its pathetic alright  How much,Leela
4473,Oh hey Leela uh can I talk to you for a minute  In private,Fry
4475,This is an emergency Amy made Valentines plans with some goon and Im gonna be stuck there lonely and miserable Will you be my date please,Fry
4476,Youre too late Fry Im sharing Valentines Day with a very special man Hes not Zapp Brannigan or anything,Leela
4477,Then I have no choice but to do something so pitiful and embarrassing that Im ashamed to tell you about it,Fry
4480,I got your hookup Fry Now my usual fees 500 bucks but seeing as how its you Ill need it in advance,Bender
4482,Why exactly did you shave your legs anyway Are you expecting something to happen with your Valentines date,Fry
4489,20 minutes Youre practically ready now,Fry
4497,Ive got a date Shell be along any minute,Fry
4498,Fry look who I found Its Petunia your dream girl,Bender
4502,She seems a little old for me,Fry
4503,She is welltravelled And I dont mean she travels a lot,Bender
4505,Now how about a rose for the lady Five bucks a pop,Bender
4507,Oh yeah Well I want one too,Fry
4510,Demand suddenly skyrocketed You all saw it,Bender
4511,Leela meet your future husband Sal,Bender
4514,Ooh sparks  Buy her a rose I guarantee shell put out,Bender
4521,No but I control this arm,Fry
4523,Wait come back uh darling,Fry
4528,Bender Did you just round up our dates at the bus station,Leela
4542,Why if it isnt my favourite head on Amys body,Leela
4545,Nonsense the evenings young So Gary what do you do for a living,Leela
4547,Really Yknow I heard that banking industry regulations are really very simple,Leela
4555,I still dont understand why you wouldnt let me graft a laser cannon onto your chest To crush those who disobey you  But I guess were just two different people,Farnsworth
4556,So uh thanks for the ride Amy And I hope there are no hard feelings about your date or stuff,Fry
4558,Well anyway its nice to have my own body back,Fry
4559,So hows the old corpse Everything hooked up OK,Leela
4560,Seems to be My necks just a little tender  Ow Listen Leela Thanks for rescuing me last night,Fry
4561,Anytime I actually enjoyed hanging out with you,Leela
4562,Yep everything worked out great thanks to good old Bender,Bender
4563,Come on Its not like you intentionally set us up with bad dates so wed spend Valentines Day together,Leela
4565,No You didnt You just corralled a bunch of stiffs at the bus station and pocketed our money,Leela
4566,True But in the end isnt that what Valentines Day is really all about,Bender
4568,I guess so  Watch the neck Watch the neck,Fry
4569,My ass My beautiful ass,Bender
4570,Good news everyone Ive taught the toaster to feel love  And Hermes returns from his vacation today,Farnsworth
4579,Hermes has all the fun Wait a second Hes got a Brain Slug on his head,Fry
4580,Shh Youre gonna get us all assimilated,Leela
4585,Sounds great Hermes Whatever you say  Lets ditch him and go to the movies,Farnsworth
4589,Nah Im not in the mood for a historical documentary Ive heard good things about Quizblorg Quizblorg,Leela
4592,Who invited you Lets just see All My Circuits,Bender
4598,Hey gimme a large diet malt liquor and a popcorn with extra motor oil,Bender
4601,Ooh this is real futuristic,Fry
4604,You mind taking your head off,Bender
4606,Just ask Flabby over here to describe it to you later,Bender
4608,Well they should have stopped making her about halfway through,Bender
4619,Pardon me sir but you seem to be bleh bleh,Bender
4628,Bender do you know who that was,Leela
4632,You should see me at funerals,Bender
4634,Ultimate Robot Fighting Sounds pleasant Ill do it,Bender
4636,Aw They dont make movies like this anymore,Farnsworth
4637,Im gonna be the greatest Ultimate Robot Fighter ever Float like a floatbot sting like an automatic stinging machine,Bender
4640,There are no rules Two robots enter one robot leaves Then later the other robot leaves after being declared the winner,Farnsworth
4641,Well that doesnt sound so bad,Bender
4642,Oh did I mention the crippling agonising pain Im pretty sure I did Oh yes definitely,Farnsworth
4643,Crippling pain Thats not covered by my insurance fraud Count me out,Bender
4644,No Youve got to do it I dont care how suicidal it is,Leela
4645,Hey How come when I wanna do fun stuff thatll kill me youre against it,Fry
4646,This is more important than that marbleeating contest Fry Its about pride Let me tell you a story from my childhood,Leela
4648,When I was growing up at the orphanarium I got picked on a lot,Leela
4649,My only outlet was Arcturan Kung Fu,Leela
4651,But Master Fnog I can beat these dorks with one eye closed,Leela
4653,What do you mean Watch this,Leela
4656,Thats it Ill take you on right now,Leela
4658,I lost my chance to be a champion I wont let you throw away yours,Leela
4659,Leelas right I dont wanna end up a loser like her Count me back in,Bender
4660,Lets see what you got Touch your toes,Leela
4662,Lets commence preparations for rumbling,Bender
4666,Wow Thanks Hermes  I Hey Cut that out,Fry
4667,You cant hit what you cant see,Bender
4668,Get up Bender You cant quit every time you get an axe in the back  Or a drill through your face Now quit scratching your axehole and get out there,Leela
4672,Yknow I think I he might be dead I took a life,Bender
4674,Hey hes not dead Whats up with that,Bender
4676,You mean Im not a great fighter I just won cause Im popular,Bender
4680,Go Bender Go Bender Go Bender,Bender
4682,Im just an excon trying to go straight and get my kids back,Bender
4688,You know Im also an Ultimate Robot Lover,Bender
4689,Bender Youre three hours late You cant give up on your training now after both of us worked so hard,Leela
4692,Hey Bender the Offender doesnt need you Bender the Offender doesnt need anybody,Bender
4694,Well obviously I need floozies Lets roll,Bender
4695,Howdy chief For my next bout what do you say I fight these two bimbos in some mud,Bender
4697,What if I told your we wouldnt be fighting in the conventional sense,Bender
4700,Those morons I said pea berry not sandalwood,Bender
4705,Oh yeah  Well what if I dont let the new guy win,Bender
4709,So then I said See you at the fight And thats the story,Bender
4710,Man I thought Ultimate Robot Fighting was real like pro wrestling But it turns out its fixed like boxing,Fry
4711,Its one thing to win a fixed fight theres dignity in that But to lose And in this atrocity I cant do it Leela you gotta train me to win,Bender
4712,No way If you wouldnt take my help when you didnt need it why should I give it to you now when you do need it,Leela
4713,What the hell are you talking about,Farnsworth
4714,I dont know But Im not helping,Leela
4720,Not Fnog Bender lets hit the gym Im gonna teach you to fight like a girl,Leela
4726,According to the script youre supposed to prance out and tickle him with your fairy wand Instead I want you to prance out and kick his head off,Leela
4727,Got it Large kickle hold the tickle,Bender
4729,Sorry buddy Here you go,Bender
4732,Oh good Just let me put on my reading glasses  Why Zoidberg theres a lovely photo of you in here,Farnsworth
4738,Keep laughing Fnog  Ready Bender,Leela
4739,I was born ready Gimme the bell  Now boarding standby passengers,Bender
4744,OK Fnog thats enough Call him off Fnog  Hmm,Leela
4745,Why wont anyone help me,Bender
4746,So once more we meet again,Leela
4748,You didnt train Destructor Youre just controlling him like a puppet I mean cheating in a fake fight Thats low,Leela
4750,Oh right Girls lack the will of the warrior,Leela
4751,Huh Its bendering time  Take this And this,Bender
4753,I think you misunderstood the concept of bendering time,Bender
4761,Bender How did the fight go I heard somebody got flattened,Fry
4763,Poor little guy starved to death,Farnsworth
4764,Im proud of you Bender Sure you lost You lost bad But the important thing is I beat up someone who hurt my feelings in high school,Leela
4765,Im in tremendous pain here,Bender
4767,Yes Im the greatest The greatest,Bender
4772,Good news everyone Several years ago I tried to log on to AOL and it just went through Whee Were online,Farnsworth
4773,Go ahead get into these net suits I designed and tested them myself,Farnsworth
4774,They smell like burning Rhesus Monkey,Leela
4775,Really I guess when youre around it all day you stop noticing Off you go,Farnsworth
4781,Its got every piece of information anyone could ever want,Leela
4785,No it isnt I just took some pictures of your face and stuck them on someone elses body,Bender
4790,Im telling you Fry theyve got a chatroom for everybody And here it is,Bender
4792,Yeah Ill stick with this one thank you,Leela
4794,Hi Im a naughty nurse and I really need someone to talk to 995 a minute,Bender
4796,So how bout them Knicks,Bender
4800,Im a woman if thats what you mean  I dont like to play games so Ill just say Im a cyclops Im a spaceship captain Im the only one of my species and Im interested in meeting a man,Leela
4802,Well thanks to the Internet Im bored with sex Is there a place on the web that panders to my lust for violence,Fry
4803,Is the Space Pope reptilian,Bender
4805,We call it a video game,Leela
4806,Uh video game you say Well golly gee you mighty spacemen of the future will have to show me how it works,Fry
4811,I cant believe it Ive dreamed of this moment all my life,Leela
4813,Fry you idiot Ever since I was abandoned on Earth Ive been searching for who my people are and where they come from Then I finally meet another Cyclops and you blast him You wrecked my one chance to learn who I am,Leela
4814,Oh Leela I feel terrible If theres anything I can ever do  I won Im the greatest,Fry
4815,Come on We have work to do,Leela
4816,Are you still mad at me for wrecking your onceinalifetime chance to learn the meaning of your existence,Fry
4817,No Im just happy you were able to win a video game Now lets concentrate on getting this desperatelyneeded popcorn to the people of Cineplex 14 OK,Leela
4823,Well too bad we gotta make that urgent popcorn delivery,Fry
4825,After a whole life of searching I may finally have found where I belong,Leela
4827,Look at that statue Its only got one eye,Leela
4830,Alcazar  Are you real Or am I seeing single,Leela
4832,After all this time somebody else with one eye who isnt a clumsy carpenter or uh a kid with a BB gun,Leela
4836,Theres so much information and yet somehow I feel as if I know it all already,Leela
4838,Hmm you got any sacred artwork of her from the back,Fry
4844,Is that anything like a cemetery cause I gotta take a leak  Ow,Fry
4845,Fry thats offensive to our people  Isnt it,Leela
4848,Oh no not at all If anything Im more impressed,Leela
4849,Ooh Im gonna need to make some room,Bender
4851,Its all so sad What happened to our people,Leela
4854,I heard you from my room Whats wrong,Leela
4856,Please is it about the fate of our people Because Im very interested in that,Leela
4863,Alcazar I used to be a baby it might have been me,Leela
4869,Youre a male and Im a female,Leela
4873,Uh sure OK What do you take with that,Leela
4875,Maybe after breakfast we can talk about rebuilding our civilisation,Leela
4876,Mmm Great pancakes Leela,Fry
4882,Look Al I know youve been living alone a long time and I can sympathise but Im not your maid,Leela
4884,OK OK Ill do the dishes  Hey whered they go,Leela
4885,Ah Leelas experiencing the greatest joy a woman can feel,Bender
4886,He may be some lowlife jerk but I dont trust him I think hes hiding something and Im gonna find out what it is,Fry
4888,Al I did my hair the way you wanted it  Who are these people,Leela
4890,Hey whered you get this couch and that TV set and all this stuff,Leela
4892,Too bad they werent giving away the three things you actually need,Leela
4895,Come on Al cant you let the little guy out,Leela
4897,Why were you sneaking into my peoples forbidden valley,Leela
4898,Cause I think Alcazars hiding something from you Listen Leela you may not like it you may not believe it you may not wanna hear it but Alcazars a jerk Hes bad for you He,Fry
4901,Fry if its obvious to you with your learning disability then of course its obvious to me Hes crude and gross and he treats me like a slave,Leela
4902,Then dump his oneeyed ass,Fry
4903,I cant If I leave Alcazar thats the end of the Cyclops race And I wont let that happen Even if it means a lifetime of unhappiness,Leela
4905,Ill break up with him at dinner,Leela
4909,Cmon Leela you deserve better than this guy Dump him already,Fry
4921,Psst Leela Youve gotta get me out of here Its horrible Eating scraps letting my waste drop wherever it falls like an animal in the zoo,Fry
4922,Animals go in the corner,Leela
4923,The corner Why didnt I think of that,Fry
4924,Look Fry Id like to help you but its my wedding and Im kind of busy  Here Try to be happy for me That way at least one of us will be,Leela
4925,Thats it Its time for this bird to walk,Fry
4926,Bender come on Weve gotta get some dirt on Alcazar Lets go and find out what makes the Forbidden Valley so forbidden,Fry
4928,But theres probably some cool forbidden stuff you can steal,Fry
