,Characters,Quotes,Characters_consolidated
3801,FARNSWORTH,Quick! The armour-plated chimney cover! Push! Push!,FARNSWORTH
3807,BENDER,"Yeah? Well I don't believe in Santa Claus. Come on, everybody, if you don't believe in him he can't hurt you.  Ow! God! The pain!",BENDER
3809,LEELA,Watch out! His belly is shaking like a bowl full of nitro-glycerine!,LEELA
3811,FRY,(shouting) He's gonna blow.,FRY
3813,FARNSWORTH,"Yes, good thing I got us out of that one!",FARNSWORTH
3815,FRY,"Uh, Bender? Where did you get that bird?",FRY
3816,BENDER,"I found it lying in the street, like all the food I cook. Dig in, everyone.",BENDER
3818,BENDER,You got the toenail!  Oh!,BENDER
3819,FRY,"Look, the food isn't what's important.",FRY
3821,FRY,"The important thing is we're all together for Xmas. And even though I'm surrounded by robots and monsters and old people, I've never felt more at home.",FRY
3824,FARNSWORTH (SINGING),He knows when you're on the can.,FARNSWORTH
3825,LEELA (SINGING),He'll hunt you down and blast your ass from here to Pakistan.,LEELA
3828,BENDER (SINGING),"You're better off dead, I'm telling you, dude.",BENDER
3829,FRY (SINGING),Santa Claus is gunning you down!,FRY
3836,FRY,Mmm. Mmm! Now this is what I call a thousand years of progress: A Bavarian creamdog that's also self-microwaving!,FRY
3837,BENDER,"Aw, jeez. Let's just pray I have the energy to get myself another beer. Oh, what is this? The Middle Ages?",BENDER
3838,LEELA,"Look at you guys. No offence, Fry, but you've become a fat sack of crap.",LEELA
3841,LEELA,Come on. We're taking you pigs to the gym.,LEELA
3847,FRY,Co-ed steam rooms! I love the future!,FRY
3848,LEELA,"Uh, Fry, you're in the womens' steam room.",LEELA
3851,LEELA,Those poor 20th century women.,LEELA
3854,FRY,"Hey, Leela, look who's the super-stud!",FRY
3855,LEELA,"Hmm, somebody must have turned down the gravity. I'll fix it for you.",LEELA
3857,FRY,"Hey, Dr. Zoidberg, what's that jazz on your head?",FRY
3859,LEELA,Maybe you could do more rips with less weight.,LEELA
3860,BENDER,"Hey, looks like Zoidberg's finally coming out of his shell.  Get it?  He's coming out--",BENDER
3863,LEELA,I wonder why Dr. Zoidberg is acting this way. Out of all of us he always seemed the most normal.,LEELA
3866,FRY,Maybe he has a parasite.,FRY
3868,BENDER,It's always so sad when a friend goes crazy and you have to have a big clam-bake and cook him! Yee-haw!,BENDER
3869,FARNSWORTH,"Now, now, this won't do. Let me just give old Zoidy a sedative.",FARNSWORTH
3873,FRY,"(simultaneously) No, Amy!",FRY
3875,FARNSWORTH,Mm-hm...  Oh-ho!  Aha! There's the problem.,FARNSWORTH
3877,FARNSWORTH,"Relax, my chiton-y chum. There's no problem. You're just heavy with male jelly.",FARNSWORTH
3879,FARNSWORTH,It must be mating season for Zoidberg's people. A chaotic time when his behaviour is dictated by the tiny brain in his rump.,FARNSWORTH
3881,FARNSWORTH,There's only one thing we can do...,FARNSWORTH
3882,BENDER,I'll get the water boiling!,BENDER
3883,FARNSWORTH,"...We, by which I mean you, will have to rush him to his ancient homeworld which will shortly erupt in an orgy of invertebrate sex.",FARNSWORTH
3885,LEELA,"Fry, do you even understand the word ""invertebrate""?",LEELA
3886,FRY,"Nope, but that's not the word I'm interested in. (shouting) Uh, no need to pack pants, people. Let's roll!",FRY
3892,FRY,"Is that how you say ""Zoidberg""?",FRY
3894,BENDER,"You're looking less nuts, crabby.",BENDER
3896,FRY,Who's the lucky lobsterina?,FRY
3898,LEELA,It's amazing that your people can fall in love so fast.,LEELA
3900,FRY,"You and me both, brother!",FRY
3903,BENDER,"Look! Outdoor theatre! Let's get tickets. Oh, let's do!",BENDER
3905,FRY,I didn't come here to see any activity involving two guys. Where do you people do your erotic display?,FRY
3910,FRY,"Hey, I wonder if these guys are here to watch the erotic display too.",FRY
3913,FRY,Look how ridiculous they look.,FRY
3914,BENDER,"Please, he's no different from the rest of you organisms; Shooting DNA at each other make babies. I find it offensive.",BENDER
3922,LEELA,Why is Zoidberg the only one still alone?,LEELA
3923,BENDER,"'Cause he's a loser, that's why. He's the lobster equivalent of Fry.",BENDER
3924,FRY,Hey! I can get any girl I want anytime I want. I'm just too busy.,FRY
3932,LEELA,At least you didn't smell as bad as them.,LEELA
3934,FRY,"Listen, Doc, if you wanna score you gotta fake like you're in love.  Just look her in the eye, start crying and say (fake crying) ""I've never been so happy"".",FRY
3935,LEELA,If a guy ever did that to me I'd know it. Wait a second. They've all been doing that to me. Even Sean!,LEELA
3937,FRY,"OK, you're on a date. What's the first thing you do?",FRY
3939,FRY,No. Tell her she's special.,FRY
3941,FRY,"Well, tell her that. And then?",FRY
3943,FRY,No. Make up some feelings and tell her you have them.  Yes?,FRY
3945,FRY,You're not even trying!,FRY
3947,FRY,"OK, OK, don't worry. The love meister will take you under his wing.",FRY
3952,FRY,"(whispering) You just wanna talk, it has nothing to do with mating.",FRY
3955,FRY,(whispering) Start with a compliment: Tell her she looks thin.,FRY
3958,FRY,(whispering) Now ask her how her day was.,FRY
3960,FRY,(whispering) You wouldn't. Ask anyway.,FRY
3964,FRY,"(whispering) That's normal. Just nod your head and say ""Uh-huh""",FRY
3968,FRY,(whispering) Third date!,FRY
3969,BENDER,So I returned his artificial heart and ever since then I've been known by the name of Honest Bender.,BENDER
3971,FRY,(whispering) Turn it over.,FRY
3974,FRY,That's the most beautiful thing I've ever heard.,FRY
3978,FRY,Nope. Must be some weird alien emotion.,FRY
3979,LEELA,"Zoidberg said some dumb stuff but he's a nice guy, really. It's just that Fry's been telling him what to say and Fry's a ... do you have idiots on your planet?",LEELA
3981,LEELA,"Yeah ... What? Look, never mind the words. Zoidberg's a doctor. A doctor honey.",LEELA
3985,FRY,No thanks. I just came to tell you that Zoidberg's really great. He's got male jelly coming out the wazoo.,FRY
3987,FRY,"Uh, I'm flattered, really. If I was gonna do it with a big, freaky mud bug you'd be way up the list!",FRY
3990,FRY,"Dr. Zoidberg, it's not how it looks.",FRY
4003,LEELA,"Dr. Zoidberg, this is madness. You're being irrational.",LEELA
4007,LEELA,"Right, right.  You have to stop this madness.",LEELA
4009,BENDER,"Fate is cruel and unyielding and what must be must be. (shouting) Takin' all bets! I'm giving 9-2 on Zoidberg, the crab with the jab! The Great Red Hope, come on baby!",BENDER
4019,FRY,Shh! Nobody correct him!,FRY
4020,BENDER,"Fry, I've never asked you for anything before but if it's not too much trouble, when it comes to the ninth round just let him win.",BENDER
4021,FRY,But it's a fight to the death!,FRY
4022,BENDER,"Oh, so this is suddenly all about you. Sheesh!",BENDER
4028,LEELA,"(shouting) Come on, Fry! Die with dignity!",LEELA
4032,BENDER,"Psst, Fry. Take a dive.",BENDER
4034,FRY,"My fellow fish monsters. Far be it for me to question your stupid civilisation or its dumb customs. But is squeezing each others brains out with a giant nutcracker really going to solve anything? Dr. Zoidberg is my friend. And though a woman has come between us, I say we'll always remain friends. And you know why?  One reason.",FRY
4035,FRY,You bastard! I'll kill you! You bastard!,FRY
4036,LEELA,Wait! Stop! Everyone is gone.,LEELA
4048,BENDER,Shoo! Get away! Hey! What's with the flying jerks?,BENDER
4050,FRY,You mean you have to choose between a life without sex and a gruesome death?,FRY
4060,FRY,"I don't mean to nitpick, super-doc, but do you think maybe you could take one more whack at this?",FRY
4070,BENDER,Mind if I tag along? I gotta bring my ass in for servicing.  The recall notice says it could burst into flames in a low-speed collision.,BENDER
4071,FRY,No wonder you've been staying at the back of conga lines lately.,FRY
4072,LEELA,"I'll get my coat. Let's go, Bender.",LEELA
4074,LEELA,Uh-huh. Now tell us she's witty and sophisticated.,LEELA
4077,FRY,"Yup, she's beautiful coffee alright.",FRY
4079,FRY,"Sorry, I'm not here to buy.",FRY
4081,FRY,I care! I care plenty! I just don't know how to make them stop!,FRY
4090,BENDER,"You, sir, have defaced a national treasure! I demand you restore my buttocks to their former glory.",BENDER
4094,LEELA,"OK, the sticker says 55,000 but we'll only go as high as say--",LEELA
4097,LEELA,"Amy, you don't go up from the sticker price.",LEELA
4103,LEELA,Hermes. Who were you yelling at?,LEELA
4105,FRY,"Valentine's Day's coming? Oh, crap! I forgot to get a girlfriend again. Well since neither of us has a date, why don't we...",FRY
4106,LEELA,You just assume I can't get a Valentine's date?,LEELA
4107,FRY,Shall we say 8 o'clock?,FRY
4109,FRY,"Yeah, OK. What's the weather like?",FRY
4112,FRY,"Boy, this A.C. is incredible!  I'd better turn on the heater too.  (shouting) Boy, this heater is incredible! I'd better turn up the A.C. some more.",FRY
4114,FRY,(shouting) Yeah!  We're slowing down!,FRY
4116,FRY,(shouting) Who wants pop-tarts?  Uh-oh!,FRY
4122,FRY,"Hey, tell me something: You've got all this money, how come you always dress like you're doing your laundry?",FRY
4124,FRY,"I've been there. My folks were always on me to groom myself and wear underpants. What am I, the Pope?",FRY
4126,FRY,"Yeah, it's like we feel the same way about junk and stuff, or, whatever.",FRY
4135,FRY,And it led there again when we got home.,FRY
4136,BENDER,"Congratulations, Fry, you snagged the perfect girlfriend. Amy's rich, she's probably got other characteristics.",BENDER
4137,LEELA,Bender! Romance isn't about money.,LEELA
4138,BENDER,"Oh, so it's just coincidence that Zoidberg here is desperately poor and miserably lonely? Puh-lease!",BENDER
4139,LEELA,"For your information, it's because he's hideous.",LEELA
4141,FARNSWORTH,Do I hear wedding bells?,FARNSWORTH
4145,BENDER,Wait. You mean people will pay good money for romance? Hmm. I think I have a scheme so deviously clever that I--,BENDER
4147,BENDER,"Stupid anti-pimping laws.  Well, pay the man!",BENDER
4149,BENDER,"Shut up, baby, I know it!",BENDER
4150,BENDER,"Ah, computer dating. It's like pimping but you rarely have to use the phrase ""upside your head"".",BENDER
4151,LEELA,"Bender, this is stupid. Why would anyone come to you for romantic help?",LEELA
4152,BENDER,Hey! Don't make me go upside your head!,BENDER
4155,FRY,"(whispering) It's working, they think we're making out.  Wait, why aren't we making out?",FRY
4159,BENDER,Just check off the things you're looking for in a love partner.,BENDER
4161,BENDER,Now to run it through our high speed romance-a-logical data-fier.  Say hello to Miss Right!,BENDER
4163,FRY,Wow! We're great kissers!,FRY
4165,FRY,"Hey, yeah! I used to spit at stuff back in the 20th century. Ah, it's cool how we sort of think exactly alike, and junk.",FRY
4167,FRY,"Everything was going great. Then all of a sudden, she's talking about hanging out. Hangin out? She's getting way too serious. I'm not a one woman man, Leela.",FRY
4168,LEELA,You'll be back to zero soon enough.,LEELA
4169,FRY,Don't you get it? She's smothering me.,FRY
4171,FRY,You see? You see? Now she's bothering me when I'm at work.,FRY
4173,FRY,I'm doing my job -- there's Amy. I spend a few hours selecting a candy from the machine -- there's Amy. I wake up the morning after sleeping with Amy -- there's Amy!,FRY
4174,LEELA,I think you're over reacting.,LEELA
4175,FRY,"Am I? (shouting) Am I? (talking) Face it, I'm a prize catch.  I mean, I'm pulling down delivery boy money.",FRY
4176,LEELA,"Fry, she's pulling down billionaire trust-fund money.",LEELA
4177,FRY,"Then she wants me as a trophy husband. Leela, you gotta come to Europa with us, I can't be alone with her.",FRY
4179,FRY,"Hey, you know who loves secluded picnics with just you and me?  Uh, Dr. Zoidberg.",FRY
4183,FRY,"Jeez, we're already planning to spend Valentine's Day together. Isn't that enough?",FRY
4185,FRY,"Oh, so all of a sudden we're spending Valentine's Day together?",FRY
4187,FRY,"That's it, Amy, we have to talk. Zoidberg, you drive.",FRY
4189,FRY,"(from inside) Pardon me, excuse me.",FRY
4191,FRY,"Amy, you know how at first you like chocolate but then you start to get tired of it because it always wants to hang out with you?",FRY
4193,FRY,"Look, could chocolate just let me finish?",FRY
4195,FRY,"Amy, what I'm trying to say is, I think maybe you and I should stop--",FRY
4198,FRY,Ow! My head is killing me. What happened? Was anybody hurt?,FRY
4205,LEELA,This sort of thing always happens with office romances.,LEELA
4207,FRY,"Well, Amy, I'll try not to interfere with your life too much.",FRY
4209,FRY,"Ooh, sorry. I guess I control that arm.",FRY
4211,FRY,"Oh, that.  Maybe we'd better talk in private. (whispering) I'll meet you in the closet.",FRY
4212,FRY,"Amy, I really like you, as a friend. But I think we're spending too much time together.",FRY
4214,FRY,I just think we should start seeing other people.,FRY
4220,FRY,"Hey, I can get a date too. Now that I'm single, I'll attract all sorts of women!",FRY
4222,FRY,(happy) Oh! (disappointed) Oh!,FRY
4224,BENDER,"Are you familiar with my friend Al Gore? I'm tellin' ya, losers get really desperate around Valentine's Day.",BENDER
4225,LEELA,"Yeah, it's pathetic alright!  How much?",LEELA
4231,FRY,"Oh, hey, Leela, uh, can I talk to you for a minute?  In private?",FRY
4233,FRY,"This is an emergency. Amy made Valentine's plans with some goon and I'm gonna be stuck there, lonely and miserable. Will you be my date, please?",FRY
4234,LEELA,"You're too late, Fry. I'm sharing Valentine's Day with a very special man. He's not Zapp Brannigan or anything!",LEELA
4235,FRY,Then I have no choice but to do something so pitiful and embarrassing that I'm ashamed to tell you about it.,FRY
4236,LEELA,Bender's in his office.,LEELA
4238,BENDER,"I got your hook-up, Fry. Now my usual fee's 500 bucks, but seeing as how it's you, I'll need it in advance.",BENDER
4240,FRY,Why exactly did you shave your legs anyway? Are you expecting something to happen with your Valentine's date?,FRY
4242,FRY,And another thing: You're using an awful lot of make-up there.,FRY
4247,FRY,20 minutes? You're practically ready now!,FRY
4252,FRY,(simultaneously) Thanks.  Where is she?,FRY
4255,FRY,I've got a date. She'll be along any minute.,FRY
4256,BENDER,"Fry, look who I found! It's Petunia, your dream girl!",BENDER
4260,FRY,(whispering) She seems a little old for me.,FRY
4261,BENDER,She is well-travelled. And I don't mean she travels a lot!,BENDER
4263,BENDER,Now how about a rose for the lady? Five bucks a pop!,BENDER
4265,FRY,"Oh, yeah? Well I want one too.",FRY
4268,BENDER,"Demand suddenly skyrocketed, you all saw it.",BENDER
4269,BENDER,"Leela, meets your future husband Sal.",BENDER
4272,BENDER,"Ooh, sparks! (whispering) Buy her a rose, I guarantee she'll put out!",BENDER
4279,FRY,"No, but I control this arm.",FRY
4281,FRY,"Wait, come back, uh, darling.",FRY
4286,LEELA,(whispering) Bender! Did you just round up our dates at the bus station?,LEELA
4293,FRY,"Hey, I have an idea: Let's all go out for ice cream.",FRY
4299,FRY,Nooo!  That's it I'm gettin' the hell outta here.  Ooh! Ow!,FRY
4300,LEELA,"Why, if it isn't my favourite head on Amy's body: Fry.",LEELA
4303,LEELA,"Nonsense, the evening's young. So, Gary, what do you do for a living?",LEELA
4305,LEELA,Really? Y'know I heard that banking industry regulations are really very simple.,LEELA
4313,FARNSWORTH,I still don't understand why you wouldn't let me graft a laser cannon onto your chest. To crush those who disobey you. But I guess we're just two different people.,FARNSWORTH
4314,FRY,"So, uh, thanks for the ride, Amy. And I hope there are no hard feelings about your date, or stuff.",FRY
4316,FRY,"Well, anyway, it's nice to have my own body back.",FRY
4317,LEELA,So how's the old corpse? Everything hooked up OK?,LEELA
4318,FRY,"Seems to be. My neck's just a little tender.  Ow! Cool!  Ow! Listen, Leela. Thanks for rescuing me last night.",FRY
4319,LEELA,Anytime. I actually enjoyed hanging out with you.,LEELA
4320,BENDER,"Yep, everything worked out great thanks to good old Bender.",BENDER
4321,LEELA,Come on! It's not like you intentionally set us up with bad dates so we'd spend Valentine's Day together.,LEELA
4322,BENDER,"Didn't I, Leela? Didn't I?",BENDER
4323,LEELA,No! You didn't! You just corralled a bunch of stiffs at the bus station and pocketed our money!,LEELA
4324,BENDER,"True. But in the end, isn't that what Valentine's Day is really all about?",BENDER
4326,FRY,I guess so.  Watch the neck! Watch the neck!,FRY
4327,BENDER,My ass! My beautiful ass!,BENDER
4342,LEELA,"Hey Bender, I thought you said you were in this episode.",LEELA
4343,BENDER,"Nah, this week I'm on Caught On Tape 3 because of what I did in the coffee pot.",BENDER
4346,BENDER,(tense and impatient) Shut up and get to the point!,BENDER
4351,LEELA,Sounds like your kinda place Fry. Wanna go?,LEELA
4352,FRY,Nah. If I ever wanna go back to the year 2000 I'll just freeze myself again.,FRY
4353,BENDER,"C'mon Fry, I really wanna see it. You know how I yearn for a simpler time. A time of barn dances and buggy rides, before life was cheapened by heartless hi-tech machines.",BENDER
4355,BENDER,Blah blah blah blah blah blah blah blah blah blah blah blah...,BENDER
4356,FRY,"Cool, it's just like the good old days!",FRY
4358,FRY,"Hey Leela, get a picture of me being ""mugged.""",FRY
4361,LEELA,"Ooo, ancient Wall Street.",LEELA
4365,LEELA,Do you know what it means?,LEELA
4366,FRY,"Yeah I asked a cop once. It means ""Up yours kid.""",FRY
4367,BENDER,"I gotta say I'm really enjoying the day out with you people - Hey, a suicide booth! So long suckers.",BENDER
4368,FRY,"Uh, sorry Bender that's just a phone booth.",FRY
4370,LEELA,What were they used for?,LEELA
4371,FRY,In New York? Bathrooms.,FRY
4372,LEELA,Oh. I-I'll be out in a sec.,LEELA
4373,LEELA,(reading) Tokens only. (talking) How does this work?,LEELA
4376,LEELA,What's this?  Another bathroom?,LEELA
4377,FRY,"No, it's a mobile apartment with no rent.",FRY
4379,LEELA,Wow! The burial chamber of the 20th century's greatest spiritual leader - Al Sharpton.,LEELA
4380,BENDER,Wow. Now this guy had taste!,BENDER
4381,LEELA,It says he was mummified in ceremonial vestments.,LEELA
4382,FRY,We sometimes called it a jogging suit.,FRY
4386,BENDER,We've come a long way baby!,BENDER
4388,FRY,"Hey, my girlfriend had one of those! Actually it wasn't her's it was her dad's. Actually she wasn't my girlfriend. She just lived next door and never closed her curtains.",FRY
4389,LEELA,"Fry, remember when I told you about always ending your stories a sentence earlier?",LEELA
4390,FRY,"C'mon, let's sneak in for a closer look.",FRY
4392,FRY,"Hey! This is from Miller's Outpo - uh, I mean, yeah, I work here alright!",FRY
4394,LEELA,Did you drive much in the 20th century Fry?,LEELA
4395,FRY,Nope.  No one in New York drove. There was too much traffic.  Nice! Listen to that baby purr!,FRY
4396,BENDER,There's a baby in there huh?,BENDER
4397,FRY,It's just like riding a bicyc -,FRY
4398,BENDER,I think I got whiplash.,BENDER
4399,LEELA,"You can't have whiplash, you don't have a neck.",LEELA
4401,FRY,I'm just glad we hit something. I thought we'd never stop.,FRY
4403,FRY,How's that robot I ran over?,FRY
4407,FARNSWORTH,"Leela, Zoidberg, the rest of you, this is Flexo.",FARNSWORTH
4410,BENDER,"Hey brobot, what's you serial number?",BENDER
4412,BENDER,No way! Mine's 2716057!,BENDER
4414,BENDER,We're both expressable as the sum of two cubes.,BENDER
4415,FRY,"So uh, Flexo. Sorry about crushing your body like that. You OK now?",FRY
4417,FRY,Well just let me know if there's anything I can do to make it up to you.,FRY
4423,FRY,Uh I can't get any lower than this.,FRY
4429,FRY,I don't like this place. It's 120 degrees and there's very little oxygen.,FRY
4430,BENDER,"Shut up and hoot.  Hubba-hubba, she is built! In Mexico I believe.",BENDER
4432,FRY,"(unsure) Uh, yeah. Look at that exhaust fan.",FRY
4438,FRY,"Uh, no, that's alright.  Ow! Ow!",FRY
4439,FRY,I'm telling you there's something about Flexo I don't like.,FRY
4442,FRY,Yeah keep laughing brineshrimp but he's bad news. I regret ever running him over.,FRY
4444,FRY,"He's much worse. He drinks, he smokes and he posts naked pictures of me on the internet.",FRY
4446,FRY,I'm talking about Flexo.,FRY
4447,LEELA,"Oh I get it, this is cute. You're jealous of Bender's new friend!",LEELA
4448,FRY,No I'm not. Mark my words. Flexo's evil. He's the evil Bender.,FRY
4450,FARNSWORTH,Everyone get in bed with me. I have something to show you.  Feast your eyes on this!,FARNSWORTH
4455,FARNSWORTH,"It's a single atom of jumbonium. And element so rare, the nucleus alone is worth more than $50,000.",FARNSWORTH
4457,FARNSWORTH,"100,000. That's why I hid it here. Under my mattress.",FARNSWORTH
4458,LEELA,"Uh Professor, can we discuss this somewhere else?",LEELA
4460,FARNSWORTH,"The atom sits atop this dime stored tiara which will be awarded to the winner of this years Miss Universe pageant on the planet Tova 9.  Your job is to deliver it, safe and sound.",FARNSWORTH
4466,FARNSWORTH,"Due to the atom's tremendous value, Planet Express would go bankrupt if it was stolen. Therefore we'll need to hire on additional security for the mission.",FARNSWORTH
4468,FRY,"Uh, maybe we should stick with people we know and trust. I mean, Flexo's great but -",FRY
4469,FARNSWORTH,Flexo's great you say? Well that's good enough for me.  Welcome aboard lad.,FARNSWORTH
4470,LEELA,"Space banditos have been operating in this quadrant so you'll each take 8-hour shifts guarding the safe. First Bender, then Flexo, then Fry.",LEELA
4471,FRY,"Wait, I don't like the sound of that. Let's just go alphabetically.",FRY
4472,LEELA,"OK. First Bender, then Flexo, then Fry.",LEELA
4473,FRY,"Wait, let's go by rank.",FRY
4474,LEELA,"OK. First Bender, then Flexo, then Fry.",LEELA
4478,FRY,Don't point that at me.,FRY
4480,FRY,"Look, I know Flexo's your friend but I don't trust him alone with the atom.",FRY
4481,BENDER,"My God Fry just 'cause the guy's got a beard you label him as evil? Well I got a label for you pal. An ugly little word called ""prejudice.""",BENDER
4483,BENDER,Ah save it for the cross burning Adolf!,BENDER
4488,FRY,Caught you!  I saw you looking at the atom!,FRY
4490,FRY,Oh-ho you'd like it if I went to sleep wouldn't you?,FRY
4492,FRY,Yeah well here's a funny joke. I'm gonna sit right here till it's my shift.,FRY
4501,FRY,"Well, that's eight hours.",FRY
4503,FRY,"Finally, the atom is safe.",FRY
4504,LEELA,What is it?  My God! Did you hear maracas?,LEELA
4506,LEELA,"Then it wasn't space banditos.  Bender, lock down the ship, don't let Flexo escape.",LEELA
4507,BENDER,Aye aye captain. It appears that Flexo has outwitted us all. Especially me...Bender.,BENDER
4508,LEELA,How could Flexo have stolen the atom?,LEELA
4509,FRY,He must have used a sleep ray on me. Sleep rays exist in the future right?,FRY
4511,FRY,Then I must've fallen asleep.,FRY
4512,LEELA,Well you were sure right about Flexo being evil.,LEELA
4513,BENDER,I locked down the ship but he may have already gotten away.,BENDER
4514,LEELA,"OK, thanks Bender. Let's fan out and look for him.",LEELA
4515,BENDER,"Roger that, I got a map of the ship right here.",BENDER
4516,LEELA,(whispering) Keep an eye on Fry. We can't rule out the possibility that he did it.,LEELA
4518,FRY,Aha!  Uh searching...hmm.,FRY
4519,LEELA,Fry? Why are you looking for Flexo in my underpants drawer?,LEELA
4520,FRY,I didn't find him here 10 minutes ago so I thought it was time to check again.,FRY
4521,BENDER,"Well, he wasn't in the uh, kitchen room.",BENDER
4522,FRY,"(suspicious) Say Bender, can I hold that map for a second?",FRY
4523,BENDER,Any leave me high and dry in case of a scavenger hunt? I think not.,BENDER
4525,BENDER,"Alright, take it. Sheesh.",BENDER
4526,LEELA,"Well, looks like Flexo got away clean.",LEELA
4528,LEELA,He must have jumped ship with the atom the second we landed.,LEELA
4529,FRY,"Or maybe, he never left at all!  Wait a minute. You're Bender.",FRY
4530,BENDER,"Of course, who said I wasn't?",BENDER
4531,FRY,"But why were you wearing that scarf, that turtleneck and this fruity number?",FRY
4532,BENDER,"It's a little thing called ""style."" Look it up sometime.",BENDER
4536,LEELA,(whispering) Downplay the tiara.,LEELA
4543,FRY,"Well, we'll be leaving now. If you'll just sign this form saying you received the atom.",FRY
4547,LEELA,"Well gentlemen, it appears we're boned.",LEELA
4553,BENDER,"Shoot him, he's choking me!",BENDER
4555,LEELA,I don't know which one to shoot.,LEELA
4558,LEELA,"Alright, enough of this.  There's the atom!",LEELA
4560,FRY,Bender? You stole the atom?,FRY
4561,BENDER,"Yeah but I can explain, it's very valuable.",BENDER
4563,FRY,"Whoa whoa, you mean Bender is the evil Bender? I am shocked, shocked! Well not that shocked.",FRY
4564,LEELA,"I'm sorry we suspected you Flexo. It's just, what with the beard and all.",LEELA
4566,FRY,I'm so confused. The Bender I liked turn out to be evil and the Bender I hated was good. How can I live my life when I can't tell good from evil?,FRY
4567,BENDER,"Eh, they're both fine choices, whatever floats your boat.",BENDER
4574,LEELA,"It figures. Who else but Zapp Brannigan would be judging the most chauvinistic, degrading, dehumanising -",LEELA
4576,LEELA,"Wait, you're making a -  Ooo! Look at that.  I feel like a princess.",LEELA
4578,LEELA,I almost had that tiara.,LEELA
4580,FRY,"Well, you guys might both be losers but I just made out with that radiator woman from the radiator planet.",FRY
4581,LEELA,"Fry, that's a radiator.",LEELA
4582,FRY,Oh.  Is there a burn ward within 10 feet of here?,FRY
4585,FARNSWORTH,"Good news, everyone. I've taught the toaster to feel love.  And Hermes returns from his vacation today.",FARNSWORTH
4594,FRY,Hermes has all the fun. Wait a second! He's got a Brain Slug on his head!,FRY
4595,LEELA,(whispering) Shh! You're gonna get us all assimilated!,LEELA
4600,FARNSWORTH,"Sounds great, Hermes! Whatever you say. (whispering) Let's ditch him and go to the movies!",FARNSWORTH
4603,FRY,"Cool, let's see this one!",FRY
4604,LEELA,"Nah. I'm not in the mood for a historical documentary. I've heard good things about Quizblorg, Quizblorg.",LEELA
4607,BENDER,Who invited you? Let's just see All My Circuits: The Movie.,BENDER
4608,FRY,"Yeah, I wanna see that.",FRY
4610,FRY,I'll take a small Slurm.,FRY
4613,BENDER,"Hey, gimmie a large diet malt liquor and a popcorn with extra motor oil.",BENDER
4616,FRY,"(sarcastic) Ooh, this is real futuristic!",FRY
4619,BENDER,"(shouting) Go Masked Unit!  Uh, hey, buddy! Yo!  You mind taking your head off?",BENDER
4621,BENDER,Just ask Flabby over here to describe it to you later.,BENDER
4623,BENDER,Well they should have stopped making her about halfway through.,BENDER
4634,BENDER,"(mocking) ""Pardon me, sir. But you seem to be bleh bleh...""",BENDER
4638,BENDER,(fake shocked) Who threw that?!,BENDER
4643,LEELA,"Bender, do you know who that was?",LEELA
4647,BENDER,You should see me at funerals.,BENDER
4649,BENDER,Ultimate Robot Fighting? Sounds pleasant! I'll do it.,BENDER
4651,FARNSWORTH,Aw. They don't make movies like this anymore.,FARNSWORTH
4652,BENDER,"I'm gonna be the greatest Ultimate Robot Fighter ever. Float like a floatbot, sting like an automatic stinging machine!",BENDER
4655,FARNSWORTH,"There are no rules. Two robots enter, one robot leaves. Then later the other robot leaves after being declared the winner.",FARNSWORTH
4656,BENDER,"Well, that doesn't sound so bad.",BENDER
4657,FARNSWORTH,"Oh, did I mention the crippling, agonising pain? I'm pretty sure I did. Oh, yes, definitely.",FARNSWORTH
4658,BENDER,Crippling pain? That's not covered by my insurance fraud! Count me out.,BENDER
4659,LEELA,No! You've got to do it. I don't care how suicidal it is.,LEELA
4660,FRY,Hey! How come when I wanna do fun stuff that'll kill me you're against it?,FRY
4661,LEELA,"This is more important than that marble-eating contest, Fry! It's about pride. Let me tell you a story from my childhood.",LEELA
4663,LEELA,"When I was growing up at the orphanarium, I got picked on a lot...",LEELA
4664,LEELA,(voice-over) ...My only outlet was Arcturan Kung Fu.,LEELA
4666,LEELA,"But, Master Fnog, I can beat these dorks with one eye closed.",LEELA
4668,LEELA,What do you mean? Watch this!,LEELA
4671,LEELA,That's it. I'll take you on right now.,LEELA
4673,LEELA,I lost my chance to be a champion. I won't let you throw away yours.,LEELA
4674,BENDER,Leela's right! I don't wanna end up a loser like her. Count me back in!,BENDER
4675,LEELA,Let's see what you got. Touch your toes.,LEELA
4676,BENDER,Still ... can't ... reach!,BENDER
4677,BENDER,Let's commence preparations for rumbling!,BENDER
4679,FRY,(shouting) Bender rules!,FRY
4681,FRY,"Wow! Thanks, Hermes!  I-- Hey! Cut that out!",FRY
4682,BENDER,You can't hit what you can't see!,BENDER
4683,LEELA,"Get up, Bender. You can't quit every time you get an axe in the back.  Or a drill through your face. Now quit scratching your axe-hole and get out there.",LEELA
4687,BENDER,"Y'know, I think I he might be dead. I took a life!",BENDER
4689,BENDER,"Hey, he's not dead. What's up with that?",BENDER
4691,BENDER,You mean I'm not a great fighter? I just won 'cause I'm popular?,BENDER
4695,BENDER,Go Bender! Go Bender! Go Bender!,BENDER
4697,BENDER,I'm just an ex-con trying to go straight and get my kids back.,BENDER
4703,BENDER,"You know, I'm also an Ultimate Robot Lover.",BENDER
4704,LEELA,Bender! You're three hours late. You can't give up on your training now after both of us worked so hard.,LEELA
