,Characters,Quotes,show
2687,homer,"marge, you can't go out on saturday!  that's our special night.",simpsons
2689,homer,"what's so --  oh, i don't know.  a little show called",simpsons
2691,homer,"how can you do this, marge?  how can you desert your children?",simpsons
2692,homer," ""man's best friend,"" indeed.",simpsons
2693,homer,i can't believe your mother went out to have fun without me.,simpsons
2695,homer," oh, that would be delightful --",simpsons
2696,homer,there's nothing to feel ashamed of here.  women have a right to a,simpsons
2697,homer,that's it!  i'm calling my buddies.  marge is not the only one,simpsons
2698,homer,fine.  i can have a great time all by myself.,simpsons
2700,homer,"oh, lisa.  haven't you seen ""home alone""?  if some burglars come,",simpsons
2703,homer,"we pay eight dollars for the night, and you can take two",simpsons
2705,homer,"sometimes, you gotta go where everybody knows your name.",simpsons
2710,homer,"come on, marge!  it's fun to smash things.   heh heh, i",simpsons
2714,homer,"the old make-out place.  hey, a new weather station!  i'll bash",simpsons
2715,homer, my wife is having a girls' night out.,simpsons
2718,homer,a lot of blue hair?  hee hee -- what a freak!,simpsons
2719,homer,...it's marge!  she's become a crazed criminal just because i,simpsons
2728,homer,oh my god!  they're going to drive right into it just to teach,simpsons
2729,homer,"look marge, i'm sorry i haven't been a better husband.  i'm sorry",simpsons
2730,homer,it's solid waste...i could kiss you!,simpsons
2731,homer,tramapoline!  trampopoline!  ,simpsons
2733,homer,yeah.  what's the deal?,simpsons
2737,homer,"marge, it's the perfect exercise!  it'll double the value of our",simpsons
2738,homer,"that's the last i'll see of mr. trampoline.  yep, it's finally",simpsons
2740,homer,"ok, the trampoline was a bad idea.  but you know what?  at least",simpsons
2741,homer,name one thing you've done in the past month that was fun.,simpsons
2746,homer,and that sends me into a shame spiral.,simpsons
2749,homer,"marge, i'm feeling a lot of shame right now.",simpsons
2751,homer,and i feel that you hear my shame.,simpsons
2753,homer,i feel validated by that.,simpsons
2755,homer,"well, here we are at the brad goodman lecture.",simpsons
2756,homer,"i just thought i'd remind everybody.  after all, we did agree to",simpsons
2764,homer,"this is great...i can finally look like i want, and not get",simpsons
2766,homer,"hey, i hear you, buddy.",simpsons
2771,homer,that's what i've been saying!  we're all fine the way we are!,simpsons
2772,homer,ooh!  it's that new show about the policeman who solves,simpsons
2773,homer," it means he gets results, you stupid chief!",simpsons
2786,homer,"marge, don't discourage the boy.  weaseling out of things is",simpsons
2792,homer," well, if it isn't the leader of the wiener patrol,",simpsons
2794,homer,"you're right, marge.  good work, boy.  ",simpsons
2797,homer,"duh, i'm the captain.  my son is bart.  [splashes everyone",simpsons
2798,homer,"how was jerk practice, boy?  did they teach you how to sing to",simpsons
2800,homer,"heh heh, you don't have a son.",simpsons
2802,homer," i don't want to go, so if he asks me to go,",simpsons
2803,homer,"shut up, brain, or i'll stab you with a q-tip!",simpsons
2805,homer," bart, i'd be delighted to go on",simpsons
2806,homer,"please not flanders, please not flanders, please not flanders --",simpsons
2807,homer,"um, i dunno...but lucky for you _somebody_ here is responsible.",simpsons
2808,homer," sugar, do-do-do do, do do,",simpsons
2809,homer,now i have to face stupid reality again.,simpsons
2810,homer,flanders!  my socks feel dirty.  give me some water to wash,simpsons
2811,homer,"oh, pardon me, mr. ""let's ration everything"", but what d'you",simpsons
2812,homer,"oh, what does it matter, we're doomed!",simpsons
2813,homer," woo-hoo!  see that, boy?  your old man was right,",simpsons
2815,homer,"this ain't one of your church picnic flare-gun firings, flanders!",simpsons
2816,homer,{ flanders!  snap out of it!,simpsons
2818,homer,"son, there was something i was going to give you at the end of",simpsons
2820,homer,i stole it from that borgnine guy.,simpsons
2821,homer,"according to this map, there's a krusty burger on an offshore",simpsons
2822,homer,"never mind the fog!   that way!  steer, there isn't",simpsons
2823,homer, give me seven hundred krusty burgers!,simpsons
2827,homer,and we won't be able to pee in the drinking fountain...,simpsons
2828,homer, so...what do you guys think of mindy?,simpsons
2829,homer, yeah...that mindy seems real nice.,simpsons
2830,homer, mindy has a motorcycle.,simpsons
2831,homer,"moe, i need your advice.",simpsons
2832,homer,"see, i got this friend named...joey jo-jo...junior...shabadoo --",simpsons
2833,homer,i'm attracted to another woman!  what am i going to do?,simpsons
2834,homer," barney, that is so insightful.  how did you come up",simpsons
2835,homer," uh...so, let's have a conversation.  um...i think",simpsons
2836,homer," hey, my favorite -- raspberry swirl with a double glaze.",simpsons
2837,homer," d'oh!  ok, so we have one thing in common.  but you",simpsons
2838,homer,foul temptress.  i'll bet she thinks ziggy's gotten too preachy,simpsons
2839,homer,whew!  i made it the whole day without seeing her again.,simpsons
2840,homer,that's ok.  i'll just push the button for the stimulator -- i,simpsons
2841,homer,"ah, home to my loving family.  what more could a man ask for?",simpsons
2843,homer,"hi, son!  how ya --  eww!",simpsons
2844,homer,"hey, we haven't watched tv in a while!  ",simpsons
2845,homer,"hello, hotline?  i'm very tempted by another woman.",simpsons
2846,homer, colonel klink!  did you ever get my letters?,simpsons
2847,homer,hee hee hee!  did you know hogan had tunnels all over your camp?,simpsons
2848,homer,ooh!  i would live in a big mansion?,simpsons
2849,homer,"i, as well.  are you happy, jeeves?",simpsons
2851,homer," tell a lie, tell a lie.",simpsons
2854,homer," lisa, look out behind you!",simpsons
2856,homer,"no, lisa, i swear to you",simpsons
2857,homer," ""mindy, because of our uncontrollable",simpsons
2858,homer,"mindy!  [clears throat, glances at prepared speech on his hand",simpsons
2859,homer,"oh, this is the worst crisis my marriage has ever faced!",simpsons
2860,homer,heh heh.  did you know kinch had a radio in the coffee pot?,simpsons
2861,homer,stop that!  i love my wife and family.  all i'm gonna use this,simpsons
2862,homer,"yeah.  uh, walls are a necessity in today's society, heh.",simpsons
2863,homer,"oh, mindy...we have to fight our temptation.",simpsons
2864,homer,"oh, something's missing...ooh!  one of the turkeys fell behind",simpsons
2865,homer,"you know, i was a little worried about coming to this convention",simpsons
2866,homer,is there any way to get out of this?,simpsons
2867,homer," ""you will find happiness with a new love.""",simpsons
2868,homer," well, i guess you'll want to come in.",simpsons
2869,homer,"oh, yeah, like you don't know.   we're gonna have sex!",simpsons
2870,homer, yes we do!  the cookie told me so.,simpsons
2871,homer,"well, maybe i want to...but then i think about marge and the",simpsons
2873,homer,anyone lose their glasses?  ,simpsons
2875,homer," lisa, just because you're ten feet tall doesn't mean",simpsons
2880,homer,and you know what the best part is?  we've really done something,simpsons
2885,homer,shh!  i'm trying to teach the baby to gamble.,simpsons
2886,homer,"i got a job at burns' casino.  as you know, it's been my lifelong",simpsons
2888,homer,we got more gongs than the break-dancing robot that caught on,simpsons
2889,homer,"why thanks, senator!  oh -- looks like my shift is over.",simpsons
2892,homer,"oh, sorry.  here's another one.",simpsons
2893,homer,"hey marge, after your big tantrum against legalized gambling, i",simpsons
2894,homer,"strike three, marge!  i remember that meeting and i have a",simpsons
2896,homer,{twenty-one?  do that card counting thing again.  come on,simpsons
2897,homer,"{no!  please, please, please, please, please?}",simpsons
2898,homer,marge!  you waited for me.,simpsons
2899,homer,"marge, i'm taking the car.",simpsons
2900,homer,this late?  through the bad neighborhood?,simpsons
2902,homer,wait!  i see what's happening here.  you're just mad because,simpsons
2906,homer,"you gotta improvise, lisa",simpsons
2908,homer,"oh, come on, lisa, there's no reason to --  --",simpsons
2909,homer,"marge, we need to talk.  you're spending too much time at the",simpsons
2911,homer,woo-hoo!  problem solved.,simpsons
2912,homer,huh -- wha -- lisa!  what's up?,simpsons
2914,homer,"oh, sure.  you just lie down and tell me all about it.",simpsons
2916,homer,"aah!  bogeyman!  you nail the windows shut, i'll get the gun!",simpsons
2917,homer,"oh, nothing, marge.  just a little incident involving the",simpsons
2922,homer,"lisa, your mom still loves you.  it's just that she has a career",simpsons
2924,homer," oh, it's always _something_, isn't it?  first i have",simpsons
2925,homer," no, lisa.  the only monster here is the",simpsons
2926,homer, yer gotta redda kid forrad yarrar!,simpsons
2928,homer, j'yer gedda ferda redderarrar.,simpsons
2930,homer,you broke a promise to your child.,simpsons
2931,homer,you promised lisa to help her with her costume.  you made her,simpsons
2932,homer,"marge, i want you to admit you have a gambling problem.",simpsons
2934,homer,"no, no, that's too expensive.  just don't do it any more.",simpsons
2935,homer,"you know, marge, for the first time in our marriage i can finally",simpsons
2937,homer,"oh, sure.  remember when i got caught stealing all those watches",simpsons
2938,homer,"well, that's nothing, because _you_ have a gambling problem!  and",simpsons
2939,homer,well _you_ have a gambling problem!,simpsons
2941,homer,"oh, yeah; i forgot already.",simpsons
2944,homer,"ehh, that's no big loss.",simpsons
2946,homer,"oh, you've probably got a whole drawer full of 'em.",simpsons
2951,homer,can't talk.  robbed.  go hell.,simpsons
2955,homer,"{curse you, magic beans!}",simpsons
2957,homer,"hello, police?  are you sitting down?  good!  i wish to report a",simpsons
2959,homer," marge, they're only human!",simpsons
2961,homer,"oh, lisa, stop pining for your saxophone.  i got you another",simpsons
2962,homer,"lisa, never _ever_ stop in the middle of a hoedown!",simpsons
2963,homer,we don't need a thinker.  we need a doer,simpsons
2964,homer,"hmm...sorry, dad.  you're too old.",simpsons
2965,homer,"aw, dad.  you've done a lot of great things, but you're a",simpsons
2967,homer,marge!  we're responsible adults.  and --,simpsons
2968,homer,and if a group of responsible adults can't handle firearms,simpsons
2969,homer,"{ok, we've got the secret vigilante handshake.  now we need code",simpsons
2970,homer,"no, we're forming a vigilante group.",simpsons
2971,homer,put this in your pipe and smoke it!,simpsons
2972,homer,"ok, men, it's time to clean up this town!",simpsons
2973,homer,"you know, push people around, make ourselves feel big.",simpsons
2974,homer,"hey, you!  where did you get that saxophone?",simpsons
2975,homer,"you better have a good reason for doing that, boy.",simpsons
2976,homer,let me check my reason list.  ...yep!  it's on here.,simpsons
2977,homer, i don't know...can you swing a sack of door knobs?,simpsons
2978,homer,you're in!  here's the sack.,simpsons
2979,homer,"so i said to him, ""look, buddy, your car was upside down when we",simpsons
2983,homer,"lisa, the mob is working on getting your saxophone back.  but",simpsons
2984,homer,"oh ho, heh, that might be a typo.",simpsons
2985,homer,"aw, people can come up with statistics to prove anything, kent.",simpsons
2986,homer," oh, kent, i'd be lying if i said my men weren't",simpsons
2987,homer,why you monster.  and you have my daughter's saxophone too!,simpsons
2988,homer,"oh...heh, sorry.  i'm a little nervous.",simpsons
2989,homer,"listen, mr. cat burglar, i vow to go without sleep and guard the",simpsons
2990,homer," dad, the best way for you to help is to set a good",simpsons
2991,homer,"""asleep at the switch""?  i wasn't asleep, i was drunk!",simpsons
2993,homer,"aw, this doesn't work any more.   i didn't say stop!",simpsons
2996,homer,"aw, dad, i could kiss you!",simpsons
2997,homer,"so, mr. malloy, it seems that the cat has been caught by the",simpsons
2998,homer,"actually, it wasn't me, it was my dad, grampa.",simpsons
3000,homer,i caught the cat burglar!  i caught the cat burglar!  that means,simpsons
3001,homer," well...i guess i'll be going to my home now,",simpsons
3002,homer,"it's mine!   ""frightfully sorry, but there is no hidden",simpsons
3003,homer,"yeah.  you kids gotta go to school, i gotta go to work; the only",simpsons
3010,homer," whaddaya mean, you lost him?  he might have fallen",simpsons
3021,homer," that's not a job, it's a waste of time.  what can poor",simpsons
3023,homer,why not?  i remember my first after school job.  i was in a,simpsons
3025,homer," gig, son.  when you're a musician, a job is",simpsons
3029,homer,"it's ok, son.  who cares what a bunch of fourth-graders think?",simpsons
3031,homer,"yep, well, that's what got me where i am today.",simpsons
3037,homer,"ah, oliver north.  he was just _poured_ into that uniform.",simpsons
3039,homer,"come on, lisa, say something funny.",simpsons
3040,homer,"oh, something stupid like bart would say.  ""bucka bucka"" or",simpsons
3042,homer,"aw, don't worry, son.  you know, they said the same thing about",simpsons
3043,homer,what the hell are you reading books for?,simpsons
3045,homer,"don't forget to say ""i didn't do it.""",simpsons
3047,homer,"how do you figure, boy?",simpsons
3049,homer,"all right, but after leno i'm all laughed out, you know.",simpsons
3060,homer,"woo hoo!  cheap meat!   ooh, this one's open.",simpsons
3061,homer,your old meat made me sick!,simpsons
3062,homer, this shrimp isn't frozen!  and it,simpsons
3063,homer,"oh, rancid meat attack!  stupid parasites.  is there no way i can",simpsons
3066,homer,"no way, man.  no way, man!  get yourself another patsy, man.  no",simpsons
3067,homer,"don't be alarmed, apu.  just go about your daily routine like i'm",simpsons
3068,homer,"ah ha ha, it's true, it's true!  we're so lame!",simpsons
3069,homer,"no, don't kill me.  i didn't know there was film in that camera",simpsons
3070,homer,"you're...selling _what_, now?",simpsons
3071,homer,you can't sell that!  karma can only be portioned out by the,simpsons
3072,homer, is he still out there?,simpsons
3074,homer,what?  that's _your_ job.  if he starts doing lisa's wood,simpsons
3076,homer,"ok, ok, i'll let him.  but then i get a chipwich, ok?",simpsons
3078,homer, stop being such babies.  you can't be afraid,simpsons
3079,homer,ha ha ha ha!  outrageous!,simpsons
3081,homer,"no it doesn't, it's funny!  their clothes are different from my",simpsons
3082,homer,{ er...i...like to keep a lollipop there.},simpsons
3090,homer, that's even worse than the album grampa released.,simpsons
3092,homer,"well, you deserve it.  all these vegetables are really clearing",simpsons
3096,homer,the kwik-e-mart is real...,simpsons
3097,homer,"everything _really_ wrapped up nicely.   ooh,",simpsons
3099,homer,"and we've _all_ found happiness, every one of us.",simpsons
3100,homer,"{hey, he's not happy at all.  he lied to us through song.  i",simpsons
3102,homer,i'm coming with you.  i got you fired; it's the least i can do.,simpsons
3105,homer,this isn't very convenient.,simpsons
3106,homer,are you _really_ the head of the kwik-e-mart?,simpsons
3107,homer,"well, _that_ was a big bust.  is he _really_ the head of the",simpsons
3108,homer,"no need to apologize, apu",simpsons
3109,homer,"fine!   oh, i mean not good.",simpsons
3113,homer,"hey, let's all hug apu.",simpsons
3115,homer,"dad, we'd love to stay here and listen to your amusing antidote,",simpsons
3116,homer,"look, maggie!  it's sergeant thug's mountaintop command post!",simpsons
3118,homer,"aw, come on, marge, you're way too -- ",simpsons
3133,homer,and we can't watch fox because they own those chemical weapon,simpsons
3140,homer,"{i'm a white male, age 18 to 49.  everyone listens to me -- no",simpsons
3161,homer,"hello!  well, today's the day for homer j.!  i _know_ i'm going",simpsons
3162,homer,"union rule 26.  ""every employee must win 'worker of the week' at",simpsons
3163,homer," ooh...inanimate, huh?  i'll show him inanimate!",simpsons
3164,homer,stupid carbon rod.  it's all just a popularity contest!,simpsons
3166,homer, nobody respects me at work.,simpsons
3167,homer,"ah, tv respects me.  it laughs _with_ me, not at me!",simpsons
3169,homer,shut up!  and another thing,simpsons
3170,homer,"hello, is this president clinton?  good!  i figured if anyone",simpsons
3171,homer,"no, it wasn't me, i swear!  it was...him!  ",simpsons
3172,homer, respect?  nooo!  it was me.  _i_ made the crank call.,simpsons
3173,homer,i'll field this one.  the only danger is if they send us to,simpsons
3174,homer,and may the best man win.   he's got a,simpsons
3178,homer,"well, here i am, right on time.  i don't see barney ""let's",simpsons
3179,homer,"oh, that's nothing.  watch this",simpsons
3180,homer," i, er, don't think this contest is over yet,",simpsons
3181,homer, you mean i shaved my bikini zone for nothing?!,simpsons
3182,homer," congratulations, barney.",simpsons
3183,homer,default?  woo hoo!  the two sweetest words in the english,simpsons
3184,homer,marge...i don't really want to go through with this.  but being,simpsons
3187,homer,"you're right, marge.  just like the time i could have met mr. t",simpsons
3189,homer,are we there yet?  i'm thirsty.,simpsons
3191,homer,"wow, former president james taylor.",simpsons
3195,homer,"wait a minute, race.  wait a minute...wait!",simpsons
3196,homer,oh.   i'll bash you good!,simpsons
3199,homer,"oh, stupid rod!  i got gypped.",simpsons
3202,homer,"yeah, maybe i do have the right...what's that stuff?",simpsons
3203,homer,"see?  because of me, now they have a warning.",simpsons
3206,homer,what do you mean?  it says right here,simpsons
3207,homer,"heh heh heh, i did it!  second in line, and all i had to do was",simpsons
3208,homer,"in theory, yes.   jerk.",simpsons
3209,homer,get tickets.  must get tickets!  find phone.  yes!,simpsons
3210,homer,"oh, not flanders, anybody but flanders --",simpsons
3211,homer,why am i such a loser?  why?,simpsons
3214,homer,"heh heh heh.  yeah, they swore they'd get us back by spiking",simpsons
3215,homer,"god, if you really are god, you'll get me tickets to that game.",simpsons
3216,homer," why do you mock me, o lord?",simpsons
3218,homer,"i know i shouldn't eat thee, but --  mmm, sacrilicious.",simpsons
3220,homer,"oh.   flanders, i decided i'd like to go to the game",simpsons
3221,homer, duck!  i can't let the boys see me with you!,simpsons
3222,homer,"well, i guess i should pay my share.",simpsons
3223,homer,"ooh, you brought me a nacho hat!  thanks, ned.",simpsons
3224,homer,"if anyone can pull it off, it's stan ""the boy"" taylor.",simpsons
3225,homer,hey!  somebody sign an autograph?  please?  somebody...sign an,simpsons
3226,homer,"professional athletes, always wantin' more.",simpsons
3227,homer,wow.  now i have four children.   you will be called,simpsons
3228,homer,no!  i want everyone to know that --  this is ned,simpsons
3230,homer,"marge, quit living in the past.",simpsons
3231,homer,"i'll be there.  and this time, _you_ can be the nacho man.",simpsons
3233,homer,"watch this, ned.  they don't call me ""springfield fats"" just",simpsons
3234,homer,boring!  let's watch something else.,simpsons
3235,homer,"aw, uncle homer.  ned, since you've let me spend time with",simpsons
3236,homer,"i'd like to introduce ned flanders, my best friend.",simpsons
3238,homer,"can't talk, seeing flanders.  later, sex.",simpsons
3239,homer,"hiya.  flanders.  ooh, dinner!  may i join you?  ",simpsons
3240,homer,"oh yeah, the judge made me do that once too.  stupid lack of",simpsons
3241,homer,come on!  we've been here for fifteen minutes!  can't you see,simpsons
3242,homer,"aw, for some reason, moe's always closed on wednesdays",simpsons
3244,homer,"oh, of _course_ you'd say something like that, marge.  you've",simpsons
3245,homer,"love, marge.  don't hate -- love.",simpsons
3247,homer,"the flandereses are not geeks!  -- ok, rod and todd are, and the",simpsons
3253,homer,i'd like to propose a toast to the coming together of the,simpsons
3254,homer,"oh, ok.  but at least let me take the boat out for one last spin?",simpsons
3255,homer,"your car.   boy, what are the",simpsons
3256,homer,"marge...i think i hate ted koppel!  no, wait, i find him",simpsons
3257,homer,"hey!  what's up for today, neddy?",simpsons
3258,homer,"hey, flanders, over here!  i got us some kick-ass seats.",simpsons
3259,homer,how dare you talk about ned flanders like that.  he's a,simpsons
3260,homer,"right back at you, buddy.  now how about that game at the",simpsons
3263,homer,"guess what, everybody?  my great uncle boris died and left us his",simpsons
3266,homer,"i'd love to, honey, but daddy has to go to a beer-drinking",simpsons
3267,homer,"son, when you participate in sporting events, it's not whether",simpsons
3273,homer,"are you mad, woman?  you never know when an old calendar might",simpsons
3275,homer,what's the point of all this cleaning?  are we so vain?!,simpsons
3282,homer, he's taking the elephant instead of the,simpsons
3283,homer,"heh, heh, stick it to the man!",simpsons
3284,homer,"bart!  with $10,000, we'd be millionaires!  we could buy all",simpsons
3288,homer,heh heh...it _does_ look like al gore.,simpsons
3291,homer,"marge, i agree with you -- in theory.  in theory, communism",simpsons
3292,homer,what's he yelling about?,simpsons
3294,homer,maybe if we tied it down so it couldn't move it wouldn't get so,simpsons
3296,homer,"oh, everything's cruel according to you.  keeping him chained up",simpsons
3299,homer,{that bird!  he's killing the elephant.  stop him!},simpsons
3302,homer,{i know.  he's grooming me.  mmm...elephant fresh.},simpsons
3307,homer,well these bills will have to paid out of your allowance.,simpsons
3309,homer,"then that's what i'll do, smart guy.",simpsons
3310,homer,"for the ninth time, no!",simpsons
3312,homer,"i don't have time to read it.  just give me the gist of it, son.",simpsons
3315,homer,"marge, please, don't humiliate me in front of the money.",simpsons
3316,homer,"uh, milhouse saw the elephant twice and rode him once,",simpsons
3317,homer,"well, that was under our old price structure.  under",simpsons
3318,homer,"what do you mea?  it's an elephant, isn't it?",simpsons
3319,homer,i only have two questions,simpsons
3321,homer,"lisa, a guy who's got lots of ivory is _less_ likely to hurt",simpsons
3324,homer,"don't worry, son.  i'll get you a new elephant.",simpsons
3325,homer,"well, i'll just keep these then.",simpsons
3329,homer,"that wasn't part of our deal, blackheart.  that wasn't part!",simpsons
3330,homer,son!  you're ok.   and you led us to the precious,simpsons
3332,homer,forget it!  that elephant cost me thousands of dollars.,simpsons
3335,homer,"yes, of course i would!  who wouldn't like that -- to be part of",simpsons
3336,homer,"naw, that's ok.  i'm pretty sure i can struggle my way out.",simpsons
3337,homer,i'm alive.  i'm alive!  and i owe it all to this feisty feline.,simpsons
3339,homer,"elephant, honey.  it's an elephant!",simpsons
3340,homer,i guess it wouldn't be right to sell stampy after he saved my,simpsons
3341,homer,"on the other hand, who's to say what's right these days, what",simpsons
3346,homer, lousy job.  nothing exciting ever happens.,simpsons
3347,homer,woo hoo!  what do i get?,simpsons
3350,homer,"ok, boy, i wrote down exactly what to say.  just read it and",simpsons
3352,homer,"ooh, he card-reads good.",simpsons
3354,homer,"{ it's ""kurns"", stupid!}",simpsons
3356,homer,"there sure is.  kids, you tried your best, and you failed",simpsons
3357,homer,"woo hoo!  we're rich!  bart, get over to the mansion and open up",simpsons
3359,homer,"huh?  oh, right.  so, i guess you're in ok shape, huh?  no heart",simpsons
3362,homer,yeah.  let's push him down the steps.,simpsons
3364,homer,"aw, how come bart gets to do that and i can't spend one night",simpsons
3373,homer,"ok.  lisa, quit getting in the way of your wealthy brother's",simpsons
3374,homer, that was the end piece!  that's it -- being abusive to,simpsons
3377,homer,{aah!  my secret shame.},simpsons
3378,homer,"bart, you're coming home.",simpsons
3380,homer,"or what?  you'll release the dogs, or the bees, or the dogs with",simpsons
3386,homer,you idiot!  he was the most talented one.,simpsons
3388,homer,can i keep in anyway?  huh?  huh?,simpsons
3390,homer, i do not miss bart at all.,simpsons
3396,homer,"hey, the trail of donuts ended --  bart!",simpsons
3398,homer,"son, i know you're upset because you thought you saw us on tv",simpsons
3399,homer,because one of them hung out with me for a week trying to get my,simpsons
3402,homer,"right back at you, son.",simpsons
3403,homer,try it.  it's like kissing a peanut!  heh heh heh.,simpsons
3414,homer,"{whoa, whoa, whoa -- let me get this straight.  they let",simpsons
3415,homer,"{well, i'm off to work.  }",simpsons
3417,homer,"{but marge, dogs can _never_ have enough excitement.  look",simpsons
3427,homer, yes.  deeply concerned.,simpsons
3443,homer,i can't let the boy see me skipping work!,simpsons
3455,homer,"aw, jury duty?  i'll see that quimby kid hanged for this!",simpsons
3466,homer,"what does ""sequestered"" mean?",simpsons
3467,homer,"what does ""deadlocked"" mean?",simpsons
3468,homer,"so _if_ we don't all vote the same way, we'll be _deadlocked_",simpsons
3469,homer,"-- where we'll get a free room, free food, free swimming pool,",simpsons
3470,homer,"uh, how are the rest of you voting?",simpsons
3471,homer,"ok, fine.  how many s's in ""innocent""?",simpsons
3472,homer,i'm only doing what i think is right.  i believe freddy quimby,simpsons
3473,homer," aw, i miss you too, marge.  but the law needs me!",simpsons
3476,homer,"jump, free willy.  jump!  jump with all your might!",simpsons
3477,homer,"ohh, i don't like this new director's cut.",simpsons
3478,homer,{i'm not stealing it.  hotels expect you to take a few things.,simpsons
3487,homer,"well, marge, it was horrible.  everyone was against me in that",simpsons
3489,homer,"right, marge, i wanna hear all about it.  [puts on ""open eye""",simpsons
3490,homer," maggie, can you point to the monkey?",simpsons
3499,homer," or if not then, christmas...",simpsons
3501,homer,hee hee hee!  that is funny.,simpsons
3503,homer,"marge, please, old people don't need companionship.  they need to",simpsons
3510,homer,well i'm opposed to the whole thing.  damn opposed!,simpsons
3513,homer,"if he marries your mother, marge, we'll be brother and sister.",simpsons
3521,homer,"dad, that will never work.  if you want to make your move, you",simpsons
3525,homer,"dad says this new guy's a repulsive, obnoxious old billionaire.",simpsons
3527,homer,"that's right, money.  your money's happiness is all that moneys.",simpsons
3532,homer,woo-hoo!  $350.  now i can buy seventy transcripts of,simpsons
3539,homer,"whoo!  don't try to eat these so-called ""chips"".",simpsons
3540,homer,"huh?  oh, ok.  i'll take three.   d'oh!  d'oh!",simpsons
3541,homer, something was said...not good.  what was it?,simpsons
3542,homer, something said...not good.,simpsons
3543,homer,"so anywho, last night we're playing poker, right?  as usual, i'm",simpsons
3545,homer,"{you think i don't want to?  it's those tv networks, marge",simpsons
3546,homer,"oh, who am i kidding?  i _am_ slow.",simpsons
3548,homer,take another bath in malt liquor?,simpsons
3550,homer,"oh, and how is ""education"" supposed to make me feel smarter?",simpsons
3552,homer,wait a minute...even lenny is teaching a class!  look at the way,simpsons
3553,homer,"well, i can tell the difference between butter and ""i can't",simpsons
3554,homer,"oh, i've failed again.  everyone can teach a class but me.  i'm",simpsons
3555,homer,that depends...is there another way to get this job?  [blinks,simpsons
3556,homer,i'll do it.  _anything_ to get me out of that house away from all,simpsons
3558,homer,"ah -- incorrect, marge.  _two_ perfectly good jackets.",simpsons
3560,homer,"can't talk now, flanders.  _i've_ got a class to teach.",simpsons
3561,homer,nothing for me today.  _i've_ got a class to teach.,simpsons
3562,homer,it's all right!  i'm a teacher.,simpsons
3563,homer,all right.  the first thing they told me to do was to make sure,simpsons
3564,homer," ew.  ok, let's get started.",simpsons
3565,homer,yeah...yeah!  that'll eat up some time.,simpsons
3566,homer,"huh?  yeah, i was listening.  very funny.",simpsons
3567,homer,"well, yes, yes, to the untrained eye, i'm eating an orange,",simpsons
3568,homer," oh, i told marge this wouldn't work",simpsons
3569,homer,"no, that's not what i meant!  marge and i always talk things",simpsons
3570,homer,i was telling marge we could save some money if she only dyed,simpsons
3571,homer,"oh, yeah.  she's been as grey as a mule since she was",simpsons
3572,homer,"i went on for hours, and they were hanging on my every word!  i",simpsons
3576,homer,"marge, i didn't tell 'em personal stuff.",simpsons
3578,homer,"oh, you mean about you.  all right, maybe i said some things,",simpsons
3580,homer,"look, marge, you don't know what it's like.  _i'm_ the one out",simpsons
3582,homer,"now, what is a wedding?  well, webster's dictionary describes a",simpsons
3583,homer,"this is a place of learning, not a house of...hearing about",simpsons
3584,homer,i _do_ have a story about two other young marrieds...,simpsons
3585,homer,"well, let's just call them, uh, mr. x and mrs. y. so anyway, mr.",simpsons
3587,homer,"not tonight, marge.  tonight, we can eat a nice leisurely dinner",simpsons
3589,homer,"marge, you'll never guess what",simpsons
3590,homer,"so, little lisa, apple of my eye",simpsons
3592,homer, and how's my little major-leaguer?  catch any,simpsons
3594,homer,"son, i know you meant well, but that wasn't the right thing to",simpsons
3596,homer,"well, now that the little ones have toddled off to bed --",simpsons
3600,homer,"all right, we're breaking early tonight, class.  for tomorrow,",simpsons
3601,homer,but i'm not in the class --,simpsons
3602,homer,"come on, marge, let me in!  there's crickets out here.",simpsons
3604,homer,but i learned my lesson!  it'll never happen again.,simpsons
3605,homer,"aw, marge is throwing me out for blabbing about her elbow thing",simpsons
3610,homer,"don't mind me, boys, just scrubbing my undies.",simpsons
3611,homer,"keep up the roughhousing, son!  without a strong male presence",simpsons
3612,homer,"oh, good.  reverend lovejoy will make marge take me back!",simpsons
3615,homer, lisa!  you will respect your new mother.  now give her a,simpsons
3616,homer,"omigod omigod omigod!   all right, let's get out story",simpsons
3618,homer,"ah, your flesh mother used to bring me pudding.",simpsons
3619,homer,"oh, i miss marge.  lisa, you're smart; help me trick her into",simpsons
3621,homer, i'll bet you $40 if you think of it for me.,simpsons
3622,homer,"all right, brain, it's all up to you.  if you don't think of what",simpsons
3623,homer,{ok.  but then we gotta get to work.,simpsons
3626,homer,moe!  what are you doing here?,simpsons
3629,homer,"marge, i figured out what i can give you that no one else can",simpsons
3631,homer,"wait a minute...wait, that's it!  i know now what i can offer you",simpsons
3633,homer,"are you kidding?  it's a wondrous, marvelous thing!  marge, i",simpsons
3636,homer,wait till my class hears about this!   kidding.,simpsons
3637,homer," oh, it's great to be indoors with my family.",simpsons
3639,homer,"hey, this is dated two weeks ago.",simpsons
3642,homer,special present?  i don't want to wait!  i want it now.  i want,simpsons
3644,homer,"it's _cool_ in here, boy.  for the rest of the summer, we can",simpsons
3646,homer,i got the idea when i noticed the refrigerator was cold.,simpsons
3648,homer,"marge, can you set the oven to ""cold""?",simpsons
3654,homer,i understand.  let us celebrate our new arrangement with the,simpsons
3655,homer,"ooh, the tinkler!  i like the sound of that.  we'll take it!",simpsons
